unified_name,broad_region,mentions,poems,counties,top_counties,top_standard_forms,top_local_forms,top_word_forms
Jesus / Christ,East Karelia/Veps/Tver,462,216,4,Laatokan Karjala (Raja-Karjala) (389); Aunus (41); Viena (29); Vepsäläisalueet (3),Jeesus (340); Jesus (64); Kristus (45); hristos (3); Kristian (2); Jeesuksen (2); Hristos (Russian) (1); Kristos (1); Kristus (loanword) (1); Kristo (1),Jeesus (166); Jiesus (81); Jesus (67); Kristus (27); jiesus (21); Jiesuksen (10); jiesuksen (8); Kristos (7); Kiesus (6); Jeussei (6),Jeesus (176); Jeesuksen (121); Jesus (48); Kristus (20); Jeesukselle (13); Jesuksen (11); Kristuksen (11); Jesusta (9); Kristos (7); Jeesukselta (5)
Jesus / Christ,Other/unclear,29,23,2, (24); välismaa (5),Jeesus (24); Kristus (5),Jeesus (11); Jiesus (5); Kristus (4); Jeesu (4); jeesus (1); kristus (1); jeesus + -kene (1); jesuxen (1); Jesus (1),Jeesus (10); Kristus (5); Jeesuksen (5); Jeesu (4); jeesukene (1); Jeesuke (1); Jesuksen (1); Jeesukselta (1); Jeesusele (1)
John / Jaan / Jussi / Hans,Estonia core/west,1721,787,8,Viljandimaa (402); Pärnumaa (242); Järvamaa (227); Läänemaa (194); Tartumaa (185); Harjumaa (181),Jaan (775); Hans (414); Ants (219); jaan (142); Juhan (73); Juss (12); jään (9); Jussi (8); hans (8); jaanike (7),Jaan (590); Hans (365); Ants (211); jaan (72); Juhan (70); jaanike (63); Jaanike (37); Jaanikene (33); jaanikene (30); Jaanik (25),Jaan (269); Jaani (260); Hans (237); Ants (140); Hansu (100); jaanike (82); Juhan (55); Antsu (53); Jaanike (44); Jaanikene (37)
John / Jaan / Jussi / Hans,South Estonia/Seto,98,51,3,Võrumaa (74); Setumaa (17); Valgamaa (7),Jaan (58); Ants (15); Juhan (10); Hans (5); Johannes (2); jaan (1); jaanil (1); Jaanikene (1); jaanike (1); Jaanile (1),Jaan (42); Ants (15); Jaani (7); Juhan (6); Hans (5); jaan (5); jaani (4); jaanil (3); juhan (2); jaanikene (2),Jaan (38); Jaani (14); Ants (11); Juhan (7); Jaanile (4); Jaanil (3); Hans (2); Hansu (2); Jaanikene (2); jaanikene (2)
John / Jaan / Jussi / Hans,Finland/Savo-Karelia,630,523,15,Häme (117); Varsinais-Suomi (95); Pohjois-Savo (65); Pohjois-Karjala (64); Satakunta (56); Etelä-Savo (49),Jussi (563); Juhani (15); Johannes (14); Iivana (6); Juhana (4); juhannes (4); Juha (4); Juhannes (2); Hans (2); jänis (2),Jussi (546); Juhani (10); Johannes (9); jussi (6); Iivana (5); Juhannes (4); Juakko (4); Juhana (4); juhannes (4); Junn(i) (3),Jussi (475); Jussin (64); Johannes (9); Iivana (5); Juhani (5); Jussia (4); Jussista (4); Juhana (4); Jussiin (3); Juhanista (3)
John / Jaan / Jussi / Hans,Ingria,57,34,3,Keski-Inkeri (23); Itä- ja Pohjois-Inkeri (20); Länsi-Inkeri (14),Jussi (20); Iivana (15); Juhana (8); Hannus (6); Hannu (3); Juhani (2); Jussi+si (1); Johannes (1); (proper) (1),Jussi (19); Iivana (12); Juhana (6); Hannus (6); Iivaana (3); Hannoi (3); Jaani (1); Jusso (1); Juss (1); J:lan (1),Iivana (16); Jussi (15); Juhana (5); Jussin (5); Hannus (4); Hannoi (3); Juhanan (2); Hannuksen (2); Jaani (1); Jusso (1)
John / Jaan / Jussi / Hans,East Karelia/Veps/Tver,36,22,3,Laatokan Karjala (Raja-Karjala) (18); Viena (15); Aunus (3),Jussi (26); Iivana (5); Jukka (2); jää+n (1); Juhana (1); Johannes (1),Jussi (26); Iivana (5); Juakko (2); jää+n (1); Juhana (1); Johannes (1),Jussi (24); Iivana (3); Iivanan (2); Jukka (2); jään (1); Juhana (1); Jussilla (1); Jussin (1); Johannes (1)
John / Jaan / Jussi / Hans,Other/unclear,82,44,2, (62); välismaa (20),Jaan (35); Hans (33); Ants (5); jaan (2); Juhan (2); jussi (1); Juss (1); Hannus (1); Jussi (1); Juku (1),Hans (30); Jaan (20); jani (10); Ants (5); Jaani (3); Jussi (2); hans (2); Juhan (2); jussi (1); jaan (1),Jaan (25); Hans (24); Jaani (6); Ants (5); Hansu (3); Jussi (2); jaanikene (2); Hansult (2); Hansuke (2); Juhan (2)
Peter / Pietari / Peeter,Estonia core/west,441,263,8,Viljandimaa (107); Tartumaa (68); Virumaa (68); Pärnumaa (56); Harjumaa (45); Järvamaa (43),Peeter (401); Peetrus (27); peeter (5); Peterburi (2); Piiter (1); piiter (1); Pieter (1); pekk (1); peedil (1); Pietari (1),Peeter (308); Peetrus (25); Piiter (18); peeter (13); Pieter (12); Piitre (6); peter (5); Peet (5); peetri (3); Peetrikene (3),Peeter (225); Peetri (82); Peetrus (25); Peetrile (10); Piiter (8); Peetrit (7); Peetril (6); Peetrikene (5); Peedi (5); Peetrilt (4)
Peter / Pietari / Peeter,South Estonia/Seto,70,27,3,Võrumaa (55); Setumaa (11); Valgamaa (4),Peeter (54); Petra (7); Piiter (5); Peetrus (2); *Petteri (1); Peetriga (1),Piitre (14); Peeter (13); Piiter (9); Petra (7); piitri (3); peeter (2); Piitrekene (2); piiterit (2); peeterille (2); peetrikene (2),Peeter (16); Piitre (13); Petra (7); Peetri (6); Piiter (5); Peetrit (5); Piitrekene (3); Piitrit (2); Peetrile (2); Peeterkene (2)
