person_cluster,area_name,mentions,poems
Anna / Anne / Ann / Anni,Pärnu-Jaagupi,10,7
Anna / Anne / Ann / Anni,Põltsamaa,41,15
Anna / Anne / Ann / Anni,Põlva,7,7
Anna / Anne / Ann / Anni,Pöide,22,10
Anna / Anne / Ann / Anni,Pühalepa,17,5
Anna / Anne / Ann / Anni,Raahe,1,1
Anna / Anne / Ann / Anni,Rakvere,1,1
Anna / Anne / Ann / Anni,Rannu,9,6
Anna / Anne / Ann / Anni,Ranua,1,1
Anna / Anne / Ann / Anni,Rapla,11,9
Anna / Anne / Ann / Anni,Reigi,1,1
Anna / Anne / Ann / Anni,Renko,1,1
Anna / Anne / Ann / Anni,Repola,5,4
Anna / Anne / Ann / Anni,Ridala,8,5
Anna / Anne / Ann / Anni,Risti,8,6
Anna / Anne / Ann / Anni,Ristijärvi,2,2
Anna / Anne / Ann / Anni,Rovaniemi,7,7
Anna / Anne / Ann / Anni,Rukajärvi,3,2
Anna / Anne / Ann / Anni,Räisälä,1,1
Anna / Anne / Ann / Anni,Räpina,4,4
Anna / Anne / Ann / Anni,Rõngu,8,6
Anna / Anne / Ann / Anni,Rõuge,9,5
Anna / Anne / Ann / Anni,Saarde,25,7
Anna / Anne / Ann / Anni,Saarijärvi,3,3
Anna / Anne / Ann / Anni,Sakkola,9,2
Anna / Anne / Ann / Anni,Salmi,6,4
Anna / Anne / Ann / Anni,Sangaste,22,16
Anna / Anne / Ann / Anni,Savitaipale,2,2
Anna / Anne / Ann / Anni,Seiskari,8,4
Anna / Anne / Ann / Anni,Serepetta,2,1
Anna / Anne / Ann / Anni,Setumaa,42,29
Anna / Anne / Ann / Anni,Siilinjärvi,1,1
Anna / Anne / Ann / Anni,Simo,2,1
Anna / Anne / Ann / Anni,Simuna,11,8
Anna / Anne / Ann / Anni,Skuoritsa,8,2
Anna / Anne / Ann / Anni,Soanlahti,2,2
Anna / Anne / Ann / Anni,Soikkola,24,15
Anna / Anne / Ann / Anni,Sortavala,1,1
Anna / Anne / Ann / Anni,Sotkamo,2,2
Anna / Anne / Ann / Anni,Spankkova,3,2
Anna / Anne / Ann / Anni,Suistamo,32,16
Anna / Anne / Ann / Anni,Suojärvi,28,12
Anna / Anne / Ann / Anni,Suomussalmi,1,1
Anna / Anne / Ann / Anni,Suonenjoki,1,1
Anna / Anne / Ann / Anni,Suure-Jaani,27,13
Anna / Anne / Ann / Anni,Sysmä,1,1
Anna / Anne / Ann / Anni,Sääksmäki,4,2
Anna / Anne / Ann / Anni,Sääminki,1,1
Anna / Anne / Ann / Anni,Säämäjärvi,1,1
Anna / Anne / Ann / Anni,Tampere,4,4
Anna / Anne / Ann / Anni,Tartu-Maarja,5,2
Anna / Anne / Ann / Anni,Tarvastu,51,23
Anna / Anne / Ann / Anni,Terijoki,4,1
Anna / Anne / Ann / Anni,Tervo,2,2
Anna / Anne / Ann / Anni,Tohmajärvi,1,1
Anna / Anne / Ann / Anni,Toksova,8,3
Anna / Anne / Ann / Anni,Tori,18,11
Anna / Anne / Ann / Anni,Torma,11,6
Anna / Anne / Ann / Anni,Tulemajärvi,30,17
Anna / Anne / Ann / Anni,Turku,1,1
Anna / Anne / Ann / Anni,Tuupovaara,1,1
Anna / Anne / Ann / Anni,Tuutari,1,1
Anna / Anne / Ann / Anni,Tyrväntö,1,1
Anna / Anne / Ann / Anni,Tyrö,5,4
Anna / Anne / Ann / Anni,Tõstamaa,6,5
Anna / Anne / Ann / Anni,Töysä,2,2
Anna / Anne / Ann / Anni,Türi,10,5
Anna / Anne / Ann / Anni,Urvaste,28,18
Anna / Anne / Ann / Anni,Uskela,2,2
Anna / Anne / Ann / Anni,Uusikaupunki,1,1
Anna / Anne / Ann / Anni,Vaivara,9,7
Anna / Anne / Ann / Anni,Valjala,3,1
Anna / Anne / Ann / Anni,Valkeala,1,1
Anna / Anne / Ann / Anni,Vanaja,1,1
Anna / Anne / Ann / Anni,Varbla,14,8
Anna / Anne / Ann / Anni,Vastseliina,3,2
Anna / Anne / Ann / Anni,Venjoki,1,1
Anna / Anne / Ann / Anni,Vieljärvi,3,1
Anna / Anne / Ann / Anni,Vigala,38,20
Anna / Anne / Ann / Anni,Viljandi,41,20
Anna / Anne / Ann / Anni,Virrat,2,2
Anna / Anne / Ann / Anni,Virtasalmi,1,1
Anna / Anne / Ann / Anni,Viru-Jaagupi,11,5
Anna / Anne / Ann / Anni,Viru-Nigula,30,14
Anna / Anne / Ann / Anni,Vuokkiniemi,10,5
Anna / Anne / Ann / Anni,Vuole,21,10
Anna / Anne / Ann / Anni,Väike-Maarja,24,20
Anna / Anne / Ann / Anni,Vändra,22,11
Anna / Anne / Ann / Anni,Võnnu,21,10
Anna / Anne / Ann / Anni,Ylämaa,1,1
Anna / Anne / Ann / Anni,Äksi,15,8
Catherine / Kadri / Katri,Alatornio,2,2
Catherine / Kadri / Katri,Ambla,38,7
Catherine / Kadri / Katri,Anttola,1,1
Catherine / Kadri / Katri,Asikkala,2,2
Catherine / Kadri / Katri,Audru,46,8
Catherine / Kadri / Katri,Brandval,1,1
Catherine / Kadri / Katri,Emmaste,1,1
Catherine / Kadri / Katri,Eno,1,1
Catherine / Kadri / Katri,Haljala,37,11
Catherine / Kadri / Katri,Halliste,40,18
Catherine / Kadri / Katri,Halsua,1,1
Catherine / Kadri / Katri,Hanila,10,1
Catherine / Kadri / Katri,Hargla,1,1
Catherine / Kadri / Katri,Harju-Jaani,15,2
Catherine / Kadri / Katri,Harju-Madise,5,1
Catherine / Kadri / Katri,Hartola,2,2
Catherine / Kadri / Katri,Heinävesi,1,1
Catherine / Kadri / Katri,Helme,93,10
Catherine / Kadri / Katri,Helsinki,1,1
Catherine / Kadri / Katri,Hietamäki,10,3
Catherine / Kadri / Katri,Hirvensalmi,2,2
Catherine / Kadri / Katri,Hollola,1,1
Catherine / Kadri / Katri,Hämeenlinna,1,1
Catherine / Kadri / Katri,Häädemeeste,36,4
Catherine / Kadri / Katri,Iisaku,1,1
Catherine / Kadri / Katri,Ilomantsi,12,6
Catherine / Kadri / Katri,Impilahti,5,4
Catherine / Kadri / Katri,Jaakkima,2,1
Catherine / Kadri / Katri,Joroinen,1,1
Catherine / Kadri / Katri,Joutseno,1,1
Catherine / Kadri / Katri,Juuru,23,3
Catherine / Kadri / Katri,Juva,7,7
Catherine / Kadri / Katri,Jämaja,1,1
Catherine / Kadri / Katri,Jämsä,1,1
Catherine / Kadri / Katri,Jäppilä,1,1
Catherine / Kadri / Katri,Järva-Jaani,12,4
Catherine / Kadri / Katri,Järva-Madise,7,5
Catherine / Kadri / Katri,Jääski,2,1
Catherine / Kadri / Katri,Jõhvi,6,6
Catherine / Kadri / Katri,Jüri,4,2
Catherine / Kadri / Katri,Kadrina,16,9
Catherine / Kadri / Katri,Kajaani,2,1
Catherine / Kadri / Katri,Kalajoki,21,3
Catherine / Kadri / Katri,Kambja,1,1
Catherine / Kadri / Katri,Kanepi,5,2
Catherine / Kadri / Katri,Kangasniemi,3,2
Catherine / Kadri / Katri,Kanneljärvi,1,1
Catherine / Kadri / Katri,Kaprio,1,1
Catherine / Kadri / Katri,Karksi,40,5
Catherine / Kadri / Katri,Karula,78,7
Catherine / Kadri / Katri,Karuse,30,6
Catherine / Kadri / Katri,Kaukola,2,2
Catherine / Kadri / Katri,Keila,1,1
Catherine / Kadri / Katri,Keltto,3,2
Catherine / Kadri / Katri,Kemi,1,1
Catherine / Kadri / Katri,Kemijärvi,2,2
Catherine / Kadri / Katri,Kerimäki,1,1
Catherine / Kadri / Katri,Kiihtelysvaara,1,1
Catherine / Kadri / Katri,Kitee,1,1
Catherine / Kadri / Katri,Kiuruvesi,2,1
Catherine / Kadri / Katri,Kivennapa,2,2
Catherine / Kadri / Katri,Kivijärvi,1,1
Catherine / Kadri / Katri,Kodavere,11,4
Catherine / Kadri / Katri,Koeru,6,2
Catherine / Kadri / Katri,Koivisto,5,1
Catherine / Kadri / Katri,Kokemäki,2,2
Catherine / Kadri / Katri,Kontiolahti,2,2
Catherine / Kadri / Katri,Koprina,13,6
Catherine / Kadri / Katri,Korpiselkä,1,1
Catherine / Kadri / Katri,Kose,33,4
Catherine / Kadri / Katri,Kuhmo,3,1
Catherine / Kadri / Katri,Kullamaa,13,3
Catherine / Kadri / Katri,Kuopio,1,1
Catherine / Kadri / Katri,Kuorevesi,1,1
Catherine / Kadri / Katri,Kupanitsa,15,2
Catherine / Kadri / Katri,Kurikka,1,1
Catherine / Kadri / Katri,Kuusalu,15,5
Catherine / Kadri / Katri,Kymi,1,1
Catherine / Kadri / Katri,Käina,1,1
Catherine / Kadri / Katri,Kärla,1,1
Catherine / Kadri / Katri,Kõpu,15,4
Catherine / Kadri / Katri,Laihia,1,1
Catherine / Kadri / Katri,Laiuse,17,2
Catherine / Kadri / Katri,Lapinjärvi,1,1
Catherine / Kadri / Katri,Lappee,2,2
Catherine / Kadri / Katri,Lavansaari,2,2
Catherine / Kadri / Katri,Lemi,7,5
Catherine / Kadri / Katri,Lempaala,6,6
Catherine / Kadri / Katri,Liissilä,1,1
Catherine / Kadri / Katri,Loppi,2,2
Catherine / Kadri / Katri,Luopioinen,1,1
Catherine / Kadri / Katri,Luumäki,1,1
Catherine / Kadri / Katri,Lääne-Nigula,2,1
Catherine / Kadri / Katri,Maaninka,1,1
Catherine / Kadri / Katri,Maarja-Magdaleena,3,3
Catherine / Kadri / Katri,Markkova,2,1
Catherine / Kadri / Katri,Moloskovitsa,11,7
Catherine / Kadri / Katri,Muhos,1,1
