person_cluster,variant,broad_region,mentions,poems,variant_total,group_region_total,share_of_variant_in_region,share_within_group_region
Mary / Maria / Maarja / Mari,Maria,Finland/Savo-Karelia,362,290,805,1031,0.4496894409937888,0.3511154219204656
Mary / Maria / Maarja / Mari,Maria,Ingria,119,82,805,709,0.14782608695652175,0.16784203102961917
Mary / Maria / Maarja / Mari,Maria,Other/unclear,2,1,805,87,0.002484472049689441,0.022988505747126436
Mary / Maria / Maarja / Mari,Maria,South Estonia/Seto,15,6,805,543,0.018633540372670808,0.027624309392265192
Mary / Maria / Maarja / Mari,Marja,East Karelia/Veps/Tver,2,2,82,372,0.024390243902439025,0.005376344086021506
Mary / Maria / Maarja / Mari,Marja,Estonia core/west,19,16,82,2321,0.23170731707317074,0.008186126669538992
Mary / Maria / Maarja / Mari,Marja,Finland/Savo-Karelia,8,7,82,1031,0.0975609756097561,0.007759456838021339
Mary / Maria / Maarja / Mari,Marja,Ingria,22,9,82,709,0.2682926829268293,0.031029619181946404
Mary / Maria / Maarja / Mari,Marja,South Estonia/Seto,31,23,82,543,0.3780487804878049,0.0570902394106814
Mary / Maria / Maarja / Mari,Other Mary-family,East Karelia/Veps/Tver,2,2,52,372,0.038461538461538464,0.005376344086021506
Mary / Maria / Maarja / Mari,Other Mary-family,Estonia core/west,26,17,52,2321,0.5,0.01120206807410599
Mary / Maria / Maarja / Mari,Other Mary-family,Finland/Savo-Karelia,7,7,52,1031,0.1346153846153846,0.006789524733268671
Mary / Maria / Maarja / Mari,Other Mary-family,Ingria,5,4,52,709,0.09615384615384616,0.007052186177715092
Mary / Maria / Maarja / Mari,Other Mary-family,Other/unclear,2,2,52,87,0.038461538461538464,0.022988505747126436
Mary / Maria / Maarja / Mari,Other Mary-family,South Estonia/Seto,10,4,52,543,0.19230769230769232,0.01841620626151013
Peter / Pietari / Peeter,Other Peter-family,East Karelia/Veps/Tver,2,1,23,256,0.08695652173913043,0.0078125
Peter / Pietari / Peeter,Other Peter-family,Estonia core/west,4,3,23,441,0.17391304347826086,0.009070294784580499
Peter / Pietari / Peeter,Other Peter-family,Finland/Savo-Karelia,4,2,23,811,0.17391304347826086,0.004932182490752158
Peter / Pietari / Peeter,Other Peter-family,Ingria,3,3,23,190,0.13043478260869565,0.015789473684210527
Peter / Pietari / Peeter,Other Peter-family,Other/unclear,2,2,23,27,0.08695652173913043,0.07407407407407407
Peter / Pietari / Peeter,Other Peter-family,South Estonia/Seto,8,2,23,70,0.34782608695652173,0.11428571428571428
Peter / Pietari / Peeter,Peeter,Estonia core/west,406,243,476,441,0.8529411764705882,0.9206349206349206
Peter / Pietari / Peeter,Peeter,Other/unclear,16,14,476,27,0.03361344537815126,0.5925925925925926
Peter / Pietari / Peeter,Peeter,South Estonia/Seto,54,23,476,70,0.1134453781512605,0.7714285714285715
Peter / Pietari / Peeter,Peetrus,East Karelia/Veps/Tver,1,1,30,256,0.03333333333333333,0.00390625
Peter / Pietari / Peeter,Peetrus,Estonia core/west,27,13,30,441,0.9,0.061224489795918366
Peter / Pietari / Peeter,Peetrus,South Estonia/Seto,2,1,30,70,0.06666666666666667,0.02857142857142857
Peter / Pietari / Peeter,Pekka,East Karelia/Veps/Tver,30,24,375,256,0.08,0.1171875
Peter / Pietari / Peeter,Pekka,Finland/Savo-Karelia,332,299,375,811,0.8853333333333333,0.4093711467324291
Peter / Pietari / Peeter,Pekka,Ingria,9,6,375,190,0.024,0.04736842105263158
Peter / Pietari / Peeter,Pekka,Other/unclear,4,3,375,27,0.010666666666666666,0.14814814814814814
Peter / Pietari / Peeter,Petteri/Petri,East Karelia/Veps/Tver,40,17,112,256,0.35714285714285715,0.15625
Peter / Pietari / Peeter,Petteri/Petri,Finland/Savo-Karelia,30,28,112,811,0.26785714285714285,0.036991368680641186
Peter / Pietari / Peeter,Petteri/Petri,Ingria,40,33,112,190,0.35714285714285715,0.21052631578947367
Peter / Pietari / Peeter,Petteri/Petri,Other/unclear,1,1,112,27,0.008928571428571428,0.037037037037037035
Peter / Pietari / Peeter,Petteri/Petri,South Estonia/Seto,1,1,112,70,0.008928571428571428,0.014285714285714285
Peter / Pietari / Peeter,Pietari,East Karelia/Veps/Tver,183,93,779,256,0.23491655969191272,0.71484375
Peter / Pietari / Peeter,Pietari,Estonia core/west,4,4,779,441,0.005134788189987163,0.009070294784580499
Peter / Pietari / Peeter,Pietari,Finland/Savo-Karelia,445,373,779,811,0.5712451861360719,0.5487053020961775
Peter / Pietari / Peeter,Pietari,Ingria,138,108,779,190,0.17715019255455713,0.7263157894736842
Peter / Pietari / Peeter,Pietari,Other/unclear,4,3,779,27,0.005134788189987163,0.14814814814814814
Peter / Pietari / Peeter,Pietari,South Estonia/Seto,5,1,779,70,0.006418485237483954,0.07142857142857142
