person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Leinappa,unmapped_possible_person_name,low,1,1,1,1,1,1,Leinappa (1),Leinappa (1),Leinappaan (1),to Leinappa (1),Keski-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leisi,unmapped_possible_person_name,low,1,1,1,1,1,1,Leisi (1),Leisi (1),Leisi (1),Leisi (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lekka,unmapped_possible_person_name,low,1,1,1,1,1,1,Lekka (1),Lekka (1),Lekka (1),Lekka (1),Kainuu (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemettyinen,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemettyinen (1),Lemettyinen (1),Lemettyisen (1),Lemettyinen's (1),Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemmes,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemmes (1),Lemmes (1),Lemmeksen (1),Lemmes's (1),Aunus (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemming,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemming (1),Lemming (1),Lemming (1),Lemming (1),Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemmingäs,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemmingäs (1),Lemmingäs (1),Lemmingästä (1),from Lemmingäs (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemppää,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemppää (1),Lemppää (1),Lemppään (1),to Lemppää (1),Keski-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lemsi,unmapped_possible_person_name,low,1,1,1,1,1,1,Lemsi (1),Lemsi (1),Lemsi (1),of Lemsi (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leppäheikki,unmapped_possible_person_name,low,1,1,1,1,1,1,Leppäheikki (1),Leppäheikki (1),Leppäheikin (1),Leppäheikki's (1),Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lesmeri,unmapped_possible_person_name,low,1,1,1,1,1,1,Lesmeri (1),Lesmeri (1),Lesmeri (1),Lesmeri (1),Etelä-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leuna,unmapped_possible_person_name,low,1,1,1,1,1,1,Leuna (1),Leuna (1),Leuna (1),Leuna (1),Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liaru,unmapped_possible_person_name,low,1,1,1,1,1,1,Liaru (1),Liaru (1),Liarun (1),Liaru's (1),Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Libe,unmapped_possible_person_name,low,1,1,1,1,1,1,Libe (1),libõe+tta (1),Libedast (1),from Libe (1),Võrumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liemminkäinen,unmapped_possible_person_name,low,1,1,1,1,1,1,Liemminkäinen (1),Liemminkäinen (1),liemminkästä (1),from Liemminkäinen (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liemo,unmapped_possible_person_name,low,1,1,1,1,1,1,Liemo (1),Liemo (1),Liemohon (1),into Liemo (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lieri,unmapped_possible_person_name,low,1,1,1,1,1,1,Lieri (1),Lieri (1),Lierin (1),Lierin (1),Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lihhoniko,unmapped_possible_person_name,low,1,1,0,1,1,1,Lihhoniko (1),Lihhoniko (1),Lihhoniko (1),Lihhoniko (1),,0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liias,unmapped_possible_person_name,low,1,1,1,1,1,1,Liias (1),Liias (1),Liiase (1),Liias's (1),Harjumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liigerpung,unmapped_possible_person_name,low,1,1,1,1,1,1,Liigerpung (1),Liigerpung (1),Liigerpungi (1),to Liigerpung (1),Läänemaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
