person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Kuuttari,unmapped_possible_person_name,low,6,3,1,1,1,1,Kuuttari (6),Kuuttari (6),Kuuttarin (6),Kuuttari's (6),Länsi-Inkeri (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kyrsi,unmapped_possible_person_name,low,6,3,2,1,1,3,Kyrsi (6),Kyrsi (6),Kyrsi (4); Kyrsille (1); Kyrsien (1),Kyrsi (4); to Kyrsi(s) (1); Kyrsi's (1),Pohjois-Karjala (4); Aunus (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Laamanen,unmapped_possible_person_name,low,6,5,1,1,3,3,Laamanen (6),Laamanen (4); Laaman (1); Laamane (1),Laamasen (3); Laamanen (2); Laaman (1),Laamanen's (3); Laamanen (2); Laama (1),Etelä-Karjala (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leene,unmapped_possible_person_name,low,6,1,1,1,1,1,Leene (6),Leene (6),Leene (6),Leene (6),Virumaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leeni,unmapped_possible_person_name,low,6,2,2,1,2,2,Leeni (6),Leeni (5); Leenik (1),Leeni (5); Leenik (1),Leeni (6),Järvamaa (5); Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Luts,unmapped_possible_person_name,low,6,1,1,1,1,1,Luts (6),Luts (6),Luts (6),Luts (6),Pärnumaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Mannu,unmapped_possible_person_name,low,6,5,4,1,2,1,Mannu (6),Mannu (4); Mannun (2),Mannun (6),Mannu's (6),Länsi-Inkeri (3); Itä- ja Pohjois-Inkeri (1); Laatokan Karjala (Raja-Karjala) (1); Varsinais-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Marel,unmapped_possible_person_name,low,6,1,1,1,1,1,Marel (6),Marel (6),Marel (6),Marel (6),Läänemaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Mati,unmapped_possible_person_name,low,6,4,4,1,2,4,Mati (6),Mati (5); Matil (1),Mati (3); Matil (1); Matista (1); Matin (1),Matt (3); at Mati's (1); from Mati (1); Mati's (1),Viljandimaa (3); Virumaa (1); Varsinais-Suomi (1); Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Moska,unmapped_possible_person_name,low,6,3,2,1,1,1,Moska (6),Moska (6),Moska (6),Moska (6),Viljandimaa (4); Tartumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ninni,unmapped_possible_person_name,low,6,6,4,1,1,3,Ninni (6),Ninni (6),Ninnin (4); Ninni (1); Ninnan (1),Ninni's (4); Ninni (1); Nina's (1),Uusimaa (2); Häme (2); Võrumaa (1); Pohjois-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Nursi,unmapped_possible_person_name,low,6,2,2,1,1,1,Nursi (6),Nursi (6),Nursi (6),Nursi (6),Võrumaa (4); Tartumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Peet,unmapped_possible_person_name,low,6,1,1,1,1,1,Peet (6),Peet (6),Peet (6),Peet (6),Virumaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pentti,unmapped_possible_person_name,low,6,6,5,1,3,3,Pentti (6),Pentti (4); Penti (1); Penttä (1),Pentti (4); Pentin (1); Penttä (1),Pentti (5); of Pentti (1),Uusimaa (2); Häme (1); Peräpohjola (1); Varsinais-Suomi (1); Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pertti,unmapped_possible_person_name,low,6,5,5,1,2,4,Pertti (6),Pertti (5); Pärttyli (1),Perttiin (2); Pertti (2); Pärttylin (1); Pertin (1),Pertti's (2); Pertti (2); into Pertti (1); to Pertti (1),Satakunta (2); Laatokan Karjala (Raja-Karjala) (1); Etelä-Savo (1); Aunus (1); Viena (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Perttuli,unmapped_possible_person_name,low,6,6,4,1,2,2,Perttuli (6),Perttuli (5); perttuli (1),Perttulin (4); Perttuliin (2),Perttuli's (2); of Perttuli (2); into Perttuli (1); Bartholomew (1),Etelä-Pohjanmaa (3); Uusimaa (1); Kainuu (1); Pohjois-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pietteri,unmapped_possible_person_name,low,6,1,3,1,1,2,Pietteri (6),Pietteri (6),Pietteriin (3); Pietterissä (3),to Pietteri (3); in Pietteri (3),Itä- ja Pohjois-Inkeri (2); Keski-Inkeri (2); Länsi-Inkeri (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Prits,unmapped_possible_person_name,low,6,1,1,1,1,2,Prits (6),Prits (6),Prits (4); Pritsu (2),Prits (4); of Prits (2),Virumaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pärt,unmapped_possible_person_name,low,6,6,4,1,1,3,Pärt (6),Pärt (6),Pärdi (2); Pärti (2); Pärt (2),Pärt (4); Pärt's (2),Läänemaa (3); Saaremaa (1); Pärnumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Salmelt,unmapped_possible_person_name,low,6,1,1,1,1,1,Salmelt (6),Salmelta (6),Salmelt (6),from Salme (6),Viljandimaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Talna,unmapped_possible_person_name,low,6,4,1,1,2,1,Talna (6),talna (4); Talna (2),Talna (6),Talna (5); of Taln(?) (1),Viljandimaa (4),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Temi,unmapped_possible_person_name,low,6,2,2,1,1,3,Temi (6),Temi (6),Temi (3); Temin (2); Temiltä (1),Temi (3); Temi's (2); from Temi (1),Viena (3); Aunus (3),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Tilta,unmapped_possible_person_name,low,6,3,3,1,1,2,Tilta (6),Tilta (6),Tilta (5); Tiltan (1),Tilta (6),Satakunta (2); Peräpohjola (2); Varsinais-Suomi (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Tohvri,unmapped_possible_person_name,low,6,1,1,1,1,1,Tohvri (6),Tohvri (6),Tohvri (6),Tohvri's (6),Saaremaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Tooni,unmapped_possible_person_name,low,6,2,2,1,1,1,Tooni (6),Tooni (6),Tooni (6),Tooni's (4); Tooni (2),Setumaa (4); Võrumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Torajoki,unmapped_possible_person_name,low,6,3,3,1,3,4,Torajoki (6),Torajoki (4); Torajovelta (1); Torajovelle (1),Torajokea (2); Torajoen (2); Torajoelta (1); Torajoelle (1),Torajoki's (2); Torajoki (1); Torajoki river (1); from Torajoki (1); to Torajoki (1),Etelä-Karjala (2); Etelä-Savo (2); Itä- ja Pohjois-Inkeri (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Tuudi,unmapped_possible_person_name,low,6,5,5,1,1,1,Tuudi (6),Tuudi (6),Tuudi (6),Tuudi (3); of Tude tribe (1); (name) (1); Tudi (1),Saaremaa (2); Harjumaa (1); Läänemaa (1); Pärnumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Uulu,unmapped_possible_person_name,low,6,4,2,1,1,1,Uulu (6),Uulu (6),Uulu (6),Uulu (5); Uulu's (1),Pärnumaa (5); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Vatla,unmapped_possible_person_name,low,6,2,1,1,1,2,Vatla (6),Vatla (6),Vatla (4); Vatlast (2),Vatla (4); from Vatla (2),Läänemaa (6),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Viia,unmapped_possible_person_name,low,6,4,3,1,3,4,Viia (6),Viiu (3); Viio (2); Viia (1),Viia (2); Viio (2); Viiu (1); Viian (1),Viia (2); Viio (2); Viiu (1); Viia's (1),Saaremaa (2); Tartumaa (1); Pohjois-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
tilli,unmapped_possible_person_name,low,6,6,5,1,2,2,tilli (6),tilli (5); tillin (1),tillin (3); Tillin (3),Tillin's (1); Tillin (name/plant) (1); Tilli's (1); Tilli(n) (1); of-Tilli (name?) (1); (refrain) (1),Häme (2); Etelä-Pohjanmaa (1); Pohjois-Savo (1); Pohjois-Karjala (1); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Aadam,unmapped_possible_person_name,low,5,5,3,1,2,2,Aadam (5),Aadam (4); Adam (1),Aadamal (4); Aadam (1),Adam (3); on Adam (2),Setumaa (2); Läänemaa (1); Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ainikki,unmapped_possible_person_name,low,5,2,3,1,1,2,Ainikki (5),Ainikki (5),Ainikki (3); Ainikin (2),Ainikki (3); Ainik's (2),Pohjois-Pohjanmaa (2); Viena (2); Aunus (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Allan,unmapped_possible_person_name,low,5,5,3,1,1,1,Allan (5),Allan (5),Allan (5),Allan (5),Peräpohjola (3); Pohjois-Pohjanmaa (1); Keski-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Anikka,unmapped_possible_person_name,low,5,5,3,1,1,1,Anikka (5),Anikka (5),Anikka (5),Anikka (3); (name/refrain) (1); Anikka (name) (1),Peräpohjola (3); Keski-Suomi (1); Etelä-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Antrus,unmapped_possible_person_name,low,5,1,1,1,1,1,Antrus (5),Antrus (5),Antrus (5),Antrus (5),Länsi-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Arjun,unmapped_possible_person_name,low,5,2,1,1,1,1,Arjun (5),Arjun (5),Arjun (5),Arjun (5),Viljandimaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Aru,unmapped_possible_person_name,low,5,4,3,1,1,1,Aru (5),Aru (5),Aru (5),Aru (3); Aru (name) (2),Virumaa (3); Järvamaa (1); Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Atti,unmapped_possible_person_name,low,5,2,2,1,1,1,Atti (5),Atti (5),Atti (5),Atti (5),Läänemaa (4); Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Eedu,unmapped_possible_person_name,low,5,1,1,1,1,3,Eedu (5),Eedu (5),Eedu (3); Eedile (1); Eedi (1),Eedu (3); to Eedu (1); Eedu's (1),Harjumaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Eeli (proper name),unmapped_possible_person_name,low,5,4,3,1,3,1,Eeli (proper name) (3),eelin (3); eeli (1); Eeli (1),eelin (5),(refrain) (2); (refrain element) (2); Eeli's (1),Peräpohjola (3); Häme (1); Etelä-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Eerikki,unmapped_possible_person_name,low,5,2,2,1,1,3,Eerikki (5),Eerikki (5),Eerikkiin (2); Eerikistä (2); Eerikkiki (1),to Eric (2); from Eric (2); Eric also (1),Varsinais-Suomi (3); Häme (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Else,unmapped_possible_person_name,low,5,5,2,1,1,1,Else (5),Else (5),Else (5),Else (5),Pärnumaa (2); Virumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Eltse,unmapped_possible_person_name,low,5,3,2,1,1,1,Eltse (5),Eltse (5),Eltse (5),Eltse (5),Järvamaa (3); Pärnumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Forpus,unmapped_possible_person_name,low,5,3,1,1,1,2,Forpus (5),Forpus (5),Forpus (3); Forpukselta (2),Forpus (3); from Forpus (1); From-Forpus (1),Peräpohjola (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Hekojen,unmapped_possible_person_name,low,5,1,1,1,1,1,Hekojen (5),hekoin (5),Hekojen (5),Hekko's (5),Länsi-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Hilma,unmapped_possible_person_name,low,5,4,3,1,1,2,Hilma (5),Hilma (5),Hilma (4); Hilmalla (1),Hilma (4); on Hilma (1),Laatokan Karjala (Raja-Karjala) (3); Etelä-Karjala (1); Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Hussan,unmapped_possible_person_name,low,5,5,2,1,1,1,Hussan (5),Hussan (5),Hussan (5),Hussan (2); Hussan's (2); Hussan (name/nickname) (1),Keski-Suomi (3); Häme (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Hätilä,unmapped_possible_person_name,low,5,3,1,1,1,2,Hätilä (5),Hätilä (5),Hätilään (3); Hätilästä (2),to Hätilä (3); from Hätilä (2),Häme (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Iidu,unmapped_possible_person_name,low,5,5,4,1,1,1,Iidu (5),Iidu (5),Iidu (5),Iidu (5),Tartumaa (2); Saaremaa (1); Võrumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Iisakki,unmapped_possible_person_name,low,5,4,3,1,1,3,Iisakki (5),Iisakki (5),Iisakki (3); Iisakin (1); Iisakille (1),Isaac (4); to Isaac (1),Pohjois-Karjala (3); Uusimaa (1); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Iita,unmapped_possible_person_name,low,5,3,3,1,1,2,Iita (5),Iita (5),Iita (3); Iidu (2),Iita (3); Iita's (2),Pohjois-Karjala (2); Viljandimaa (2); Pohjois-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Iivari,unmapped_possible_person_name,low,5,5,4,1,2,2,Iivari (5),Iivari (3); Iikka (2),Iivari (3); Iikka (2),Iivari (3); Iikka (2),Varsinais-Suomi (2); Etelä-Pohjanmaa (1); Satakunta (1); Uusimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ilja,unmapped_possible_person_name,low,5,3,4,1,2,1,Ilja (5),Ilja (3); ilja (2),Ilja (5),Ilja (3); Ilja (name) (1); Elijah (1),Harjumaa (2); Võrumaa (1); Setumaa (1); Vepsäläisalueet (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Joakko,unmapped_possible_person_name,low,5,2,2,1,2,4,Joakko (5),Joakko (4); Joakko+an (1),Joakko (2); Joakkoa (1); Joakon (1); Joakkoja (1),Joakko (2); Joakko (obj.) (1); Joakko's (1); Joakkos (1),Pohjois-Karjala (3); Pohjois-Savo (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Juuttahi,unmapped_possible_person_name,low,5,1,1,1,1,1,Juuttahi (5),Juuttahi (5),Juuttahista (5),from Juuttahi (5),Laatokan Karjala (Raja-Karjala) (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Jyrri,unmapped_possible_person_name,low,5,5,2,1,2,1,Jyrri (5),Jyrri (4); Jyrri+n (1),Jyrrin (5),Jyrri's (2); Jyrri (2); Jyrri (myth figure) (1),Aunus (4); Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kaapro,unmapped_possible_person_name,low,5,2,2,1,4,3,Kaapro (5),kaapro (2); kaapre (1); kaaprolle (1); Kaapro (1),Kaapro (3); Kaaprolle (1); Kaapron (1),Kaapro (3); to Kaapro (1); Kaapro's (1),Etelä-Karjala (4); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kali,unmapped_possible_person_name,low,5,2,2,1,1,2,Kali (5),Kali (5),Kali (4); Kalin (1),Kali (4); Kali's (1),Laatokan Karjala (Raja-Karjala) (3); Pohjois-Karjala (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kapu,unmapped_possible_person_name,low,5,3,2,1,1,1,Kapu (5),Kapu (5),Kapu (5),Kapu's (2); Kapu (2); Kapu (toponym) (1),Järvamaa (3); Virumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Karttu,unmapped_possible_person_name,low,5,5,4,1,1,1,Karttu (5),Karttu (5),Karttu (5),Karttu (5),Pohjois-Savo (2); Etelä-Karjala (1); Uusimaa (1); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kateriina,unmapped_possible_person_name,low,5,4,4,1,2,3,Kateriina (5),Kateriina (4); Katerina (1),Kateriina (2); Kateriinan (2); Katerinan (1),Kateriina (2); Kateriina's (2); Katerina's (1),Laatokan Karjala (Raja-Karjala) (2); Vepsäläisalueet (1); Aunus (1); Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kaukamoi,unmapped_possible_person_name,low,5,1,1,1,2,2,Kaukamoi (5),kaukamoi (4); kaukamoin (1),Kaukamoi (4); Kaukamoiden (1),Kaukamoi (4); of Kaukamo's (1),Keski-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kiko,unmapped_possible_person_name,low,5,2,1,1,2,1,Kiko (5),Kiko (3); kiko (2),Kiko (5),Kiko (5),Setumaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kilter,unmapped_possible_person_name,low,5,5,4,1,1,2,Kilter (5),Kilter (5),Kilter (4); Kilteril (1),Kilter (4); Kilteril's (1),Virumaa (2); Tartumaa (1); Harjumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Koik,unmapped_possible_person_name,low,5,3,3,1,5,4,Koik (5),Koiku (1); koigu (1); Koik (1); koiku (1); koigu+s (1),Koigu (2); Koikusse (1); Koik (1); Koigus (1),Koik's (2); to Koik (1); Koik (1); in Koik (1),Võrumaa (2); Viljandimaa (2); Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kopa,unmapped_possible_person_name,low,5,1,1,1,1,1,Kopa (5),Kopa (5),Kopa (5),Kopa (5),Harjumaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kreeda,unmapped_possible_person_name,low,5,2,2,1,2,2,Kreeda (5),Kreedakene (4); Kreeda (1),Kreedakene (4); Kreeda (1),little Kreeta (4); Kreeda (1),Võrumaa (3); Setumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kustas,unmapped_possible_person_name,low,5,4,4,1,1,3,Kustas (5),Kustas (5),Kustas (3); kustakseid (1); Kustase (1),Kustas (3); Gustavs (1); Kustas's (1),Viljandimaa (2); Järvamaa (1); Läänemaa (1); Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kõreta,unmapped_possible_person_name,low,5,1,1,1,1,1,Kõreta (5),Kõreta (5),Kõreta (5),Kõreta (5),Virumaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Madis,unmapped_possible_person_name,low,5,4,4,1,2,2,Madis (5),Madis (4); Matar (1),Madis (4); Madissa (1),Madis (3); Madissas (1); Matar (1),Tartumaa (2); Saaremaa (1); Virumaa (1); välismaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Marini,unmapped_possible_person_name,low,5,2,1,1,1,1,Marini (5),Marini (5),Marini (5),Marini (5),Länsi-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Markkula,unmapped_possible_person_name,low,5,5,5,1,2,2,Markkula (5),Markkula (4); markkula (1),Markkulan (4); markkulan (1),Markkula's (4); of Markkula (1),Etelä-Karjala (1); Häme (1); Pohjois-Karjala (1); Keski-Suomi (1); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Mauno,unmapped_possible_person_name,low,5,4,4,1,2,2,Mauno (5),Maunu (3); Mauno (2),Maunu (3); Maunon (2),Mauno's (2); Maunu (2); Mauno (1),Peräpohjola (2); Itä- ja Pohjois-Inkeri (1); Etelä-Savo (1); Varsinais-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Miikkula,unmapped_possible_person_name,low,5,5,4,1,2,4,Miikkula (5),Miikkula (4); Miiklah (1),Miikkulan (2); Miikkula (1); Miikkulaan (1); Miikkulalla (1),Miikkula (1); to Miikkula (1); of Miikkula (1); Miikkula's (1); at Miikkula's (1),Tveri (2); Laatokan Karjala (Raja-Karjala) (1); Vepsäläisalueet (1); Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Moskova,unmapped_possible_person_name,low,5,5,4,1,1,4,Moskova (5),Moskova (5),Moskovan (2); Moskovaan (1); Moskovaa (1); Moskovasta (1),Moscow's (2); to Moscow (1); Moscow (1); from Moscow (1),Länsi-Inkeri (2); Keski-Inkeri (1); Itä- ja Pohjois-Inkeri (1); Pohjois-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Nanna,unmapped_possible_person_name,low,5,5,3,1,1,1,Nanna (5),Nanna (5),Nannan (5),Nanna's (4); of Nanna (1),Uusimaa (3); Pohjois-Pohjanmaa (1); Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Narentka,unmapped_possible_person_name,low,5,4,1,1,1,1,Narentka (5),Narentka (5),Narentkan (5),Narentka's (4); Narenta's (1),Itä- ja Pohjois-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Oapro,unmapped_possible_person_name,low,5,1,1,1,1,3,Oapro (5),Oapro (5),Oapron (2); Oapro (2); Oaprolta (1),Oapro's (2); Oapro (2); from Oapro (1),Itä- ja Pohjois-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ogo,unmapped_possible_person_name,low,5,5,1,1,1,1,Ogo (5),Ogo (5),Ogo (5),Ogo (5),Tveri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ollerjaani,unmapped_possible_person_name,low,5,1,1,1,1,1,Ollerjaani (5),Ollerjaani (5),Ollerjaani (5),Ollerjaani's (5),Viljandimaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ollila,unmapped_possible_person_name,low,5,5,4,1,2,4,Ollila (5),Ollila (4); ollila (1),Ollila (2); Ollilassa (1); Ollilaan (1); Ollilan (1),Ollila (2); in Ollila (1); to Ollila (1); of Ollila (1),Etelä-Pohjanmaa (2); Satakunta (1); Peräpohjola (1); Etelä-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ontro,unmapped_possible_person_name,low,5,1,1,1,1,2,Ontro (5),Ontro (5),Ontron (4); Ontro (1),Ontro's (4); Ontro (1),Laatokan Karjala (Raja-Karjala) (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Ortto,unmapped_possible_person_name,low,5,1,1,1,1,2,Ortto (5),Ortto (5),Ortto (3); Orttohon (2),Ortto (3); to Ortto (2),Viena (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Osmala,unmapped_possible_person_name,low,5,2,2,1,1,2,Osmala (5),Osmala (5),Osmala (4); Osmalaa (1),Osmala (4); Osmala (loc.) (1),Itä- ja Pohjois-Inkeri (4); Keski-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Paatitsa,unmapped_possible_person_name,low,5,5,1,1,1,1,Paatitsa (5),Paatitsa (5),Paatitsasta (5),from Paatitsa (5),Länsi-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Perttu,unmapped_possible_person_name,low,5,5,5,1,2,3,Perttu (5),Perttu (4); Perttuli (1),Perttu (3); Perttulin (1); Pertun (1),Perttu (2); Perttuli's (1); Ptruu (1); Perttu's (1),Pohjois-Karjala (1); Satakunta (1); Etelä-Pohjanmaa (1); Varsinais-Suomi (1); Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Peterburi,unmapped_possible_person_name,low,5,5,5,1,3,1,Peterburi (5),Peterburi (3); Peeterburi (1); peterpoor (1),Peterburi (5),to Petersburg (1); Petersburg's (1); St. Petersburg's (1); Peterburi (1); St. Petersburg (1),Harjumaa (1); Võrumaa (1); Saaremaa (1); Virumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pietola,unmapped_possible_person_name,low,5,5,3,1,2,2,Pietola (5),Pietola (4); Piedula (1),Pietolaan (4); Pietolah (1),to Pietola (4); to Piedula (1),Laatokan Karjala (Raja-Karjala) (3); Keski-Suomi (1); Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Piipe,unmapped_possible_person_name,low,5,2,1,1,1,1,Piipe (5),Piipe (5),Piipe (5),Piipe's (proper noun) (2); Piipe's (2); Piipe (1),Järvamaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pireta,unmapped_possible_person_name,low,5,4,3,1,2,1,Pireta (5),Pireta (3); pireta (2),Pireta (5),Pireta (5),Viljandimaa (2); Läänemaa (2); Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Porkuni,unmapped_possible_person_name,low,5,3,2,1,1,3,Porkuni (5),Porkuni (5),Porkunida (2); Porkuni (2); Porkunis (1),Porkuni (2); Porkuni's (2); in Porkuni (1),Virumaa (3); Tartumaa (2),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Puts,unmapped_possible_person_name,low,5,3,3,1,1,1,Puts (5),Puts (5),Puts (5),Puts (5),Võrumaa (3); Harjumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Päts,unmapped_possible_person_name,low,5,1,1,1,1,2,Päts (5),Päts (5),Päts (3); Pätsi (2),Päts (5),Läänemaa (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Pürje,unmapped_possible_person_name,low,5,5,3,1,1,1,Pürje (5),Pürje (5),Pürje (5),Pürje (5),Harjumaa (2); Virumaa (2); Saaremaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Rants,unmapped_possible_person_name,low,5,4,4,1,2,3,Rants (5),Rants (4); rants (1),Rants (3); Rantsi (1); Rantsiga (1),Rants (2); Rants' (1); with Rant (1); Rants (name) (1),Pärnumaa (2); Võrumaa (1); Tartumaa (1); Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Reinikko,unmapped_possible_person_name,low,5,2,1,1,2,2,Reinikko (5),Reinikka (4); Reinikko (1),Reinikoita (3); Reinikan (2),of Reinikos (2); Reinikan's (2); Reinikko's (1),Pohjois-Savo (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Riet,unmapped_possible_person_name,low,5,1,1,1,1,1,Riet (5),Riet (5),Riet (5),Riet (5),Itä- ja Pohjois-Inkeri (5),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
