unified_name,county,broad_region,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Mary / Maria / Maarja / Mari,Kainuu,Finland/Savo-Karelia,44,31,6,11,Maaria (17); Maria (15); Maija (7); maija (2); maaria (2); Maariana (1),Maaria (16); Maria (8); Maija (6); maaria (5); maija (2); Moarija (2); maejon (1); Maarija (1)
Mary / Maria / Maarja / Mari,Keski-Suomi,Finland/Savo-Karelia,29,28,4,8,Maija (14); Maria (8); maija (4); Maaria (3),Maija (13); Maria (5); Maaria (4); maija (3); maij (1); Mariaan (1); Mariasta (1); maejoo (1)
Mary / Maria / Maarja / Mari,välismaa,Other/unclear,29,21,3,6,mari (20); Mari (6); Maarja (3),mari (14); marja (7); Mari (4); Maarja (2); Maret (1); maarja (1)
Mary / Maria / Maarja / Mari,Uusimaa,Finland/Savo-Karelia,19,15,5,6,Maija (10); Maaria (4); Maarja (2); maaria (2); maija (1),Maija (9); Maaria (3); maija (2); Maarja (2); maaria (2); Maari (1)
Mary / Maria / Maarja / Mari,Metsäsuomalaisten alue,Finland/Savo-Karelia,14,11,5,9,Maria (7); Maaria (2); maija (2); marita (2); Maria+n (1),Maaria (4); maija (2); mareta (2); Maria (1); Moari (1); Muarja (1); marjoa (1); Moaria (1)
Mary / Maria / Maarja / Mari,Länsipohja,Finland/Savo-Karelia,5,4,1,2,Maria (5),Maria (4); Maaria (1)
Mary / Maria / Maarja / Mari,Valgamaa,South Estonia/Seto,4,4,3,4,mari (2); Mari (1); Maarja (1),mari (1); marjaken (1); Mari (1); Maarja (1)
Mary / Maria / Maarja / Mari,Vepsäläisalueet,East Karelia/Veps/Tver,2,2,1,1,Maria (2),Maria (2)
Mary / Maria / Maarja / Mari,Tveri,East Karelia/Veps/Tver,1,1,1,1,Maria (1),Muarie (1)
Jesus / Christ,Laatokan Karjala (Raja-Karjala),East Karelia/Veps/Tver,389,162,9,40,Jeesus (289); Jesus (61); Kristus (30); hristos (3); Jeesuksen (2); Kristus (loanword) (1); Kristo (1); kristuksen (1),Jeesus (148); Jiesus (72); Jesus (64); jiesus (21); Kristus (20); Jiesuksen (10); jiesuksen (8); Kristos (4)
Jesus / Christ,Pohjois-Karjala,Finland/Savo-Karelia,226,153,7,24,Jeesus (165); Jesus (36); Kristus (17); Jeesuksen (5); jesus (1); Ristus (1); Jeesus+en (1),Jeesus (97); Jiesus (40); Jesus (39); Kristus (9); Ristus (9); Jiessus (5); Jeessus (4); Jeesu (3)
Jesus / Christ,Häme,Finland/Savo-Karelia,158,115,6,24,Jeesus (102); Jesus (39); Kristus (13); Jeesuksen (2); kristitty (1); kristillinen (1),Jesus (58); Jeesus (46); Jessus (14); Kristus (10); Jeesu (4); Jiesus (4); Ristus (2); Kiesus (2)
Jesus / Christ,Länsi-Inkeri,Ingria,130,65,6,23,Jeesus (88); Jesus (23); Kristus (15); Jeesuksen (2); Isus (1); Hristos (1),Jeesus (45); Jesus (23); Iesus (12); Kristus (9); Kiesus (9); Jeesukse (4); iesus (3); Jiesus (3)
Jesus / Christ,Keski-Inkeri,Ingria,126,68,4,18,Jeesus (108); Jesus (10); Kristus (7); Jeesuksen (1),Jeesus (55); Jesus (16); Iesus (8); Iessus (7); Kristus (7); Jiessus (6); Jessus (5); Kiesus (5)
Jesus / Christ,Itä- ja Pohjois-Inkeri,Ingria,118,71,4,18,Jeesus (95); Jesus (20); Kristus (2); Jeesu (1),Jeesus (61); Jesus (23); Iesus (7); Iessus (6); iesus (4); jiesus (4); jeesus (2); Jiesus (1)
Jesus / Christ,Võrumaa,South Estonia/Seto,103,22,4,16,Jeesus (93); Kristus (7); Jeesuse (2); Jeesu (1),Jeesus (48); jeesus (12); jeesu (10); Kristus (5); Jeesu (5); Jessu (5); jeesuken (4); Jeesusõ (3)
Jesus / Christ,Etelä-Savo,Finland/Savo-Karelia,96,71,4,27,Jeesus (72); Jesus (16); Kristus (7); Jeesuksen (1),Jeesus (27); Jesus (23); Jiesus (8); jesus (5); Jesuxen (4); Jessus (4); Jiessus (2); ristus (2)
Jesus / Christ,Pohjois-Savo,Finland/Savo-Karelia,72,55,4,11,Jeesus (59); Jesus (7); Kristus (4); Jeesuksen (2),Jeesus (38); Jesus (11); Jiessus (5); Kiesus (5); jesuxen (5); Kristus (3); Jeſuxen (1); Jeſus (1)
Jesus / Christ,Setumaa,South Estonia/Seto,65,16,2,12,Jeesus (64); Jesus (1),Jeesus (14); eesus (12); Jeesu (10); jessu (10); eesust (6); jeesu (3); jeesus (3); eesu (2)
Jesus / Christ,Etelä-Karjala,Finland/Savo-Karelia,61,42,4,16,Jeesus (52); Kristus (4); Jesus (4); kristillinen (1),Jeesus (30); Iessus (5); Jesus (5); Jiesus (4); Kristus (3); Iesus (3); Jeesu (2); Jiusus (1)
Jesus / Christ,Virumaa,Estonia core/west,61,35,6,14,Jeesus (54); Jeesukene (3); Jesus (1); Jeesu_kene (1); jeesus (1); Jeesuse (1),Jeesus (38); Jeesukene (4); Jeesu (4); jeesukene (2); Eesus (2); Heesus (2); jeesuke (2); jeessu (1)
Jesus / Christ,Tartumaa,Estonia core/west,56,34,4,11,Jeesus (38); Kristus (16); Jesus (1); Jeesusesse (1),Jeesus (30); Kristus (11); jeesus (4); Krist (3); Jesus (2); Jeesuke (1); Kristuse (1); kristus (1)
Jesus / Christ,Satakunta,Finland/Savo-Karelia,54,40,3,7,Jeesus (34); Jesus (12); Kristus (8),Jeesus (31); Jesus (12); Kristus (7); jeesus+seni (1); Jeesus(en) (1); Jeessu (1); Kristi (1)
Jesus / Christ,Etelä-Pohjanmaa,Finland/Savo-Karelia,52,39,3,10,Jeesus (34); Kristus (11); Jesus (7),Jeesus (25); Jesus (11); Kristus (6); Ristus (2); jesux (2); christux (2); Jeessus (1); Iesus (1)
Jesus / Christ,Viljandimaa,Estonia core/west,49,27,3,6,Jeesus (42); Kristus (6); Eesus (1),Jeesus (34); Kristus (6); Jeessu (4); Eesus (3); Jeesul (1); Jeesukene (1)
Jesus / Christ,Pärnumaa,Estonia core/west,44,21,2,5,Jeesus (39); Kristus (5),Jeesus (35); Kristus (5); jeesus (2); Jeesu (1); Jeesuse (1)
Jesus / Christ,Aunus,East Karelia/Veps/Tver,41,30,6,19,Jeesus (23); Kristus (11); Jesus (3); Kristian (2); Hristos (Russian) (1); Kristos (1),Jeesus (8); Jeussei (6); Kristus (5); Jiesus (3); Jesus (3); Kristos (2); hristoa (2); Krista + an (1)
Jesus / Christ,Harjumaa,Estonia core/west,38,21,5,9,Jeesus (25); Kristus (6); Jesus (5); Iesus (1); Jeesukene (1),Jeesus (21); Jesus (5); kristus (3); Kristus (3); jiesus (2); Iesus (1); Jiesukene (1); Jeesukene (1)
Jesus / Christ,Peräpohjola,Finland/Savo-Karelia,36,32,2,7,Jeesus (34); Kristus (2),Jeesus (18); Iesus (11); Kristus (2); Jeesu (2); Jesus (1); Iesu(s) (1); jeesus (1)
Jesus / Christ,Varsinais-Suomi,Finland/Savo-Karelia,35,27,3,8,Jeesus (20); Kristus (12); Jesus (3),Jeesus (10); Jesus (10); Kristus (9); Kiesus (2); Kristuksen (1); Cristus (1); iesus+ksen (1); kristus+ksen (1)
Jesus / Christ,Metsäsuomalaisten alue,Finland/Savo-Karelia,34,25,3,7,Jeesus (29); Kristus (3); Jesus (2),Jeesus (21); Kiesus (5); Kristus (3); Jesus (2); Jessuksën (1); Jiessus (1); Jeesus-en (1)
Jesus / Christ,Viena,East Karelia/Veps/Tver,29,25,2,8,Jeesus (28); Kristus (1),Jeesus (10); Jiesus (6); Jeesus+en (4); Kiesus (4); Jesuks (2); jeesus (1); Krista+a (1); Jeessun (1)
Jesus / Christ,Järvamaa,Estonia core/west,28,14,4,9,Jeesus (22); Kristus (4); Jeesuke (1); Jeesuse (1),Jeesus (13); Iesukene (4); Kristus (2); Iesuselle (2); jeesus (2); kristus (2); Jeesuke (1); Iesus (1)
Jesus / Christ,Pohjois-Pohjanmaa,Finland/Savo-Karelia,28,18,3,7,Jeesus (21); Jesus (6); Kristus (1),Jeesus (15); Jesus (6); Iesus (2); Jiesus (2); kiesus (1); Kristus (1); jesus (1)
Jesus / Christ,,Other/unclear,24,19,2,7,Jeesus (22); Kristus (2),Jeesus (10); Jiesus (5); Jeesu (4); Kristus (2); jeesus + -kene (1); jesuxen (1); Jesus (1)
Jesus / Christ,Kainuu,Finland/Savo-Karelia,19,19,3,4,Jeesus (16); Jesus (2),Jeesus (13); Jesus (3); Kiesus (2); Jiesus (1)
