person_cluster,variant_collapsed,broad_region,mentions,share_within_group,share_within_variant
Martin / Mart / Märt,Mard/Mardi,South Estonia/Seto,5,0.0014273479874393378,0.0072992700729927005
Martin / Mart / Märt,Mard/Mardi,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,Other/unclear,16,0.004567513559805881,0.02335766423357664
Martin / Mart / Märt,Märti,Estonia core/west,206,0.05880673708250071,0.9196428571428571
Martin / Mart / Märt,Märti,South Estonia/Seto,4,0.0011418783899514702,0.017857142857142856
Martin / Mart / Märt,Märti,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märti,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märti,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märti,Other/unclear,14,0.003996574364830145,0.0625
Martin / Mart / Märt,Martti,Estonia core/west,0,0.0,0.0
Martin / Mart / Märt,Martti,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Martti,Finland/Savo-Karelia,39,0.011133314302026834,0.7358490566037735
Martin / Mart / Märt,Martti,Ingria,13,0.003711104767342278,0.24528301886792453
Martin / Mart / Märt,Martti,East Karelia/Veps/Tver,1,0.00028546959748786756,0.018867924528301886
Martin / Mart / Märt,Martti,Other/unclear,0,0.0,0.0
Martin / Mart / Märt,Other,Estonia core/west,14,0.003996574364830145,0.7368421052631579
Martin / Mart / Märt,Other,South Estonia/Seto,4,0.0011418783899514702,0.21052631578947367
Martin / Mart / Märt,Other,Finland/Savo-Karelia,1,0.00028546959748786756,0.05263157894736842
Martin / Mart / Märt,Other,Ingria,0,0.0,0.0
Martin / Mart / Märt,Other,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Other,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,Estonia core/west,1005,0.4633471645919779,0.8085277554304103
Catherine / Kadri / Katri,Kadri,South Estonia/Seto,205,0.09451360073766712,0.16492357200321803
Catherine / Kadri / Katri,Kadri,Finland/Savo-Karelia,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,Ingria,2,0.0009220839096357768,0.0016090104585679806
Catherine / Kadri / Katri,Kadri,East Karelia/Veps/Tver,3,0.0013831258644536654,0.002413515687851971
Catherine / Kadri / Katri,Kadri,Other/unclear,28,0.012909174734900875,0.02252614641995173
Catherine / Kadri / Katri,Katri,Estonia core/west,284,0.13093591516828032,0.6147186147186147
Catherine / Kadri / Katri,Katri,South Estonia/Seto,24,0.011065006915629323,0.05194805194805195
Catherine / Kadri / Katri,Katri,Finland/Savo-Karelia,40,0.018441678192715538,0.08658008658008658
Catherine / Kadri / Katri,Katri,Ingria,93,0.042876901798063624,0.2012987012987013
Catherine / Kadri / Katri,Katri,East Karelia/Veps/Tver,21,0.009681881051175657,0.045454545454545456
Catherine / Kadri / Katri,Katri,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Estonia core/west,1,0.0004610419548178884,0.004016064257028112
Catherine / Kadri / Katri,Kaisa,South Estonia/Seto,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Finland/Savo-Karelia,171,0.07883817427385892,0.6867469879518072
Catherine / Kadri / Katri,Kaisa,Ingria,56,0.02581834946980175,0.2248995983935743
Catherine / Kadri / Katri,Kaisa,East Karelia/Veps/Tver,18,0.008298755186721992,0.07228915662650602
Catherine / Kadri / Katri,Kaisa,Other/unclear,3,0.0013831258644536654,0.012048192771084338
Catherine / Kadri / Katri,Kati,Estonia core/west,2,0.0009220839096357768,0.019230769230769232
Catherine / Kadri / Katri,Kati,South Estonia/Seto,4,0.0018441678192715537,0.038461538461538464
Catherine / Kadri / Katri,Kati,Finland/Savo-Karelia,8,0.0036883356385431073,0.07692307692307693
Catherine / Kadri / Katri,Kati,Ingria,87,0.040110650069156296,0.8365384615384616
Catherine / Kadri / Katri,Kati,East Karelia/Veps/Tver,1,0.0004610419548178884,0.009615384615384616
Catherine / Kadri / Katri,Kati,Other/unclear,2,0.0009220839096357768,0.019230769230769232
Catherine / Kadri / Katri,Katariina/Katriina,Estonia core/west,5,0.002305209774089442,0.08620689655172414
Catherine / Kadri / Katri,Katariina/Katriina,South Estonia/Seto,2,0.0009220839096357768,0.034482758620689655
Catherine / Kadri / Katri,Katariina/Katriina,Finland/Savo-Karelia,17,0.007837713231904103,0.29310344827586204
Catherine / Kadri / Katri,Katariina/Katriina,Ingria,29,0.013370216689718764,0.5
Catherine / Kadri / Katri,Katariina/Katriina,East Karelia/Veps/Tver,5,0.002305209774089442,0.08620689655172414
Catherine / Kadri / Katri,Katariina/Katriina,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Other,Estonia core/west,35,0.016136468418626097,0.660377358490566
Catherine / Kadri / Katri,Other,South Estonia/Seto,5,0.002305209774089442,0.09433962264150944
Catherine / Kadri / Katri,Other,Finland/Savo-Karelia,5,0.002305209774089442,0.09433962264150944
Catherine / Kadri / Katri,Other,Ingria,4,0.0018441678192715537,0.07547169811320754
Catherine / Kadri / Katri,Other,East Karelia/Veps/Tver,4,0.0018441678192715537,0.07547169811320754
Catherine / Kadri / Katri,Other,Other/unclear,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,Estonia core/west,970,0.42863455589924876,0.9125117591721543
Anna / Anne / Ann / Anni,Anne,South Estonia/Seto,66,0.029164825452938577,0.062088428974600186
Anna / Anne / Ann / Anni,Anne,Finland/Savo-Karelia,2,0.0008837825894829872,0.0018814675446848542
Anna / Anne / Ann / Anni,Anne,Ingria,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,East Karelia/Veps/Tver,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,Other/unclear,25,0.01104728236853734,0.023518344308560677
Anna / Anne / Ann / Anni,Anni,Estonia core/west,26,0.011489173663278833,0.04553415061295972
Anna / Anne / Ann / Anni,Anni,South Estonia/Seto,4,0.0017675651789659744,0.0070052539404553416
Anna / Anne / Ann / Anni,Anni,Finland/Savo-Karelia,216,0.09544851966416261,0.37828371278458844
Anna / Anne / Ann / Anni,Anni,Ingria,161,0.07114449845338047,0.2819614711033275
Anna / Anne / Ann / Anni,Anni,East Karelia/Veps/Tver,161,0.07114449845338047,0.2819614711033275
Anna / Anne / Ann / Anni,Anni,Other/unclear,3,0.0013256738842244808,0.005253940455341506
Anna / Anne / Ann / Anni,Ann,Estonia core/west,398,0.17587273530711445,0.8450106157112527
Anna / Anne / Ann / Anni,Ann,South Estonia/Seto,42,0.01855943437914273,0.08917197452229299
Anna / Anne / Ann / Anni,Ann,Finland/Savo-Karelia,1,0.0004418912947414936,0.0021231422505307855
Anna / Anne / Ann / Anni,Ann,Ingria,5,0.002209456473707468,0.010615711252653927
Anna / Anne / Ann / Anni,Ann,East Karelia/Veps/Tver,10,0.004418912947414936,0.021231422505307854
Anna / Anne / Ann / Anni,Ann,Other/unclear,15,0.006628369421122404,0.03184713375796178
Anna / Anne / Ann / Anni,Anna,Estonia core/west,29,0.012814847547503314,0.35802469135802467
Anna / Anne / Ann / Anni,Anna,South Estonia/Seto,2,0.0008837825894829872,0.024691358024691357
Anna / Anne / Ann / Anni,Anna,Finland/Savo-Karelia,42,0.01855943437914273,0.5185185185185185
Anna / Anne / Ann / Anni,Anna,Ingria,2,0.0008837825894829872,0.024691358024691357
Anna / Anne / Ann / Anni,Anna,East Karelia/Veps/Tver,6,0.0026513477684489617,0.07407407407407407
Anna / Anne / Ann / Anni,Anna,Other/unclear,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Estonia core/west,30,0.013256738842244807,0.6382978723404256
Anna / Anne / Ann / Anni,Anu,South Estonia/Seto,3,0.0013256738842244808,0.06382978723404255
Anna / Anne / Ann / Anni,Anu,Finland/Savo-Karelia,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Ingria,9,0.003977021652673442,0.19148936170212766
Anna / Anne / Ann / Anni,Anu,East Karelia/Veps/Tver,4,0.0017675651789659744,0.0851063829787234
Anna / Anne / Ann / Anni,Anu,Other/unclear,1,0.0004418912947414936,0.02127659574468085
Anna / Anne / Ann / Anni,Other,Estonia core/west,19,0.008395934600088379,0.6333333333333333
Anna / Anne / Ann / Anni,Other,South Estonia/Seto,6,0.0026513477684489617,0.2
Anna / Anne / Ann / Anni,Other,Finland/Savo-Karelia,2,0.0008837825894829872,0.06666666666666667
Anna / Anne / Ann / Anni,Other,Ingria,1,0.0004418912947414936,0.03333333333333333
Anna / Anne / Ann / Anni,Other,East Karelia/Veps/Tver,2,0.0008837825894829872,0.06666666666666667
Anna / Anne / Ann / Anni,Other,Other/unclear,0,0.0,0.0
