person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
John / Jaan / Jussi / Hans,Ants,South Estonia/Seto,15,0.005716463414634146,0.06276150627615062
John / Jaan / Jussi / Hans,Ants,Finland/Savo-Karelia,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Other/unclear,5,0.0019054878048780487,0.02092050209205021
John / Jaan / Jussi / Hans,Iivana,Estonia core/west,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,South Estonia/Seto,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,Finland/Savo-Karelia,6,0.0022865853658536584,0.23076923076923078
John / Jaan / Jussi / Hans,Iivana,Ingria,15,0.005716463414634146,0.5769230769230769
John / Jaan / Jussi / Hans,Iivana,East Karelia/Veps/Tver,5,0.0019054878048780487,0.19230769230769232
John / Jaan / Jussi / Hans,Iivana,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Other,Estonia core/west,142,0.054115853658536585,0.568
John / Jaan / Jussi / Hans,Other,South Estonia/Seto,18,0.006859756097560976,0.072
John / Jaan / Jussi / Hans,Other,Finland/Savo-Karelia,59,0.022484756097560975,0.236
John / Jaan / Jussi / Hans,Other,Ingria,22,0.008384146341463415,0.088
John / Jaan / Jussi / Hans,Other,East Karelia/Veps/Tver,5,0.0019054878048780487,0.02
John / Jaan / Jussi / Hans,Other,Other/unclear,4,0.001524390243902439,0.016
Peter / Pietari / Peeter,Pietari,Estonia core/west,1,0.0005571030640668524,0.0013157894736842105
Peter / Pietari / Peeter,Pietari,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Pietari,Finland/Savo-Karelia,442,0.24623955431754874,0.5815789473684211
Peter / Pietari / Peeter,Pietari,Ingria,131,0.07298050139275766,0.1723684210526316
Peter / Pietari / Peeter,Pietari,East Karelia/Veps/Tver,182,0.10139275766016713,0.2394736842105263
Peter / Pietari / Peeter,Pietari,Other/unclear,4,0.0022284122562674096,0.005263157894736842
Peter / Pietari / Peeter,Peeter,Estonia core/west,406,0.22618384401114205,0.8529411764705882
Peter / Pietari / Peeter,Peeter,South Estonia/Seto,54,0.030083565459610027,0.1134453781512605
Peter / Pietari / Peeter,Peeter,Finland/Savo-Karelia,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Ingria,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,East Karelia/Veps/Tver,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Other/unclear,16,0.008913649025069638,0.03361344537815126
Peter / Pietari / Peeter,Pekka,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,Finland/Savo-Karelia,331,0.18440111420612815,0.8850267379679144
Peter / Pietari / Peeter,Pekka,Ingria,9,0.005013927576601671,0.02406417112299465
Peter / Pietari / Peeter,Pekka,East Karelia/Veps/Tver,30,0.016713091922005572,0.08021390374331551
Peter / Pietari / Peeter,Pekka,Other/unclear,4,0.0022284122562674096,0.0106951871657754
Peter / Pietari / Peeter,Petteri/Petri,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Petteri/Petri,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Petteri/Petri,Finland/Savo-Karelia,28,0.015598885793871866,0.25925925925925924
Peter / Pietari / Peeter,Petteri/Petri,Ingria,39,0.021727019498607242,0.3611111111111111
Peter / Pietari / Peeter,Petteri/Petri,East Karelia/Veps/Tver,40,0.022284122562674095,0.37037037037037035
Peter / Pietari / Peeter,Petteri/Petri,Other/unclear,1,0.0005571030640668524,0.009259259259259259
Peter / Pietari / Peeter,Other,Estonia core/west,34,0.01894150417827298,0.44155844155844154
Peter / Pietari / Peeter,Other,South Estonia/Seto,16,0.008913649025069638,0.2077922077922078
Peter / Pietari / Peeter,Other,Finland/Savo-Karelia,10,0.005571030640668524,0.12987012987012986
Peter / Pietari / Peeter,Other,Ingria,11,0.006128133704735376,0.14285714285714285
Peter / Pietari / Peeter,Other,East Karelia/Veps/Tver,4,0.0022284122562674096,0.05194805194805195
Peter / Pietari / Peeter,Other,Other/unclear,2,0.0011142061281337048,0.025974025974025976
Martin / Mart / Märt,Märt,Estonia core/west,1232,0.3516985441050528,0.9085545722713865
Martin / Mart / Märt,Märt,South Estonia/Seto,113,0.03225806451612903,0.08333333333333333
Martin / Mart / Märt,Märt,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märt,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märt,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märt,Other/unclear,11,0.003140165572366543,0.008112094395280236
Martin / Mart / Märt,Mart/Martin,Estonia core/west,976,0.2786183271481587,0.9789368104312939
Martin / Mart / Märt,Mart/Martin,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,Finland/Savo-Karelia,3,0.0008564087924636027,0.003009027081243731
Martin / Mart / Märt,Mart/Martin,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,East Karelia/Veps/Tver,1,0.00028546959748786756,0.0010030090270812437
Martin / Mart / Märt,Mart/Martin,Other/unclear,17,0.004852983157293748,0.017051153460381142
Martin / Mart / Märt,Mard/Mardi,Estonia core/west,605,0.17270910648015986,0.9726688102893891
Martin / Mart / Märt,Mard/Mardi,South Estonia/Seto,3,0.0008564087924636027,0.00482315112540193
Martin / Mart / Märt,Mard/Mardi,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,Other/unclear,14,0.003996574364830145,0.022508038585209004
Martin / Mart / Märt,Märti,Estonia core/west,201,0.05737938909506138,0.9178082191780822
Martin / Mart / Märt,Märti,South Estonia/Seto,4,0.0011418783899514702,0.0182648401826484
Martin / Mart / Märt,Märti,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märti,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märti,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märti,Other/unclear,14,0.003996574364830145,0.0639269406392694
Martin / Mart / Märt,Martti,Estonia core/west,0,0.0,0.0
Martin / Mart / Märt,Martti,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Martti,Finland/Savo-Karelia,39,0.011133314302026834,0.7358490566037735
Martin / Mart / Märt,Martti,Ingria,13,0.003711104767342278,0.24528301886792453
Martin / Mart / Märt,Martti,East Karelia/Veps/Tver,1,0.00028546959748786756,0.018867924528301886
Martin / Mart / Märt,Martti,Other/unclear,0,0.0,0.0
Martin / Mart / Märt,Other,Estonia core/west,243,0.06936911218955182,0.94921875
