county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Etelä-Savo,alli,2,2,1,2,alli (2),Alli (1); alli (1)
Etelä-Savo,leini,2,1,1,1,leini (2),leini (2)
Etelä-Savo,(non-standard),1,1,1,1,(non-standard) (1),Leerik (1)
Etelä-Savo,Aatami,1,1,1,1,Aatami (1),Aatam (1)
Etelä-Savo,Aatolpi,1,1,1,1,Aatolpi (1),Aatolpi (1)
Etelä-Savo,Aina,1,1,1,1,Aina (1),Aina (1)
Etelä-Savo,Akeri,1,1,1,1,Akeri (1),Akkeri (1)
Etelä-Savo,Alantojärvi,1,1,1,1,Alantojärvi (1),Alanto-järvi (1)
Etelä-Savo,Alma,1,1,1,1,Alma (1),Alma (1)
Etelä-Savo,Amana,1,1,1,1,Amana (1),Aman (1)
Etelä-Savo,Annika,1,1,1,1,Annika (1),Annika (1)
Etelä-Savo,Annukka,1,1,1,1,Annukka (1),annukka (1)
Etelä-Savo,Antero,1,1,1,1,Antero (1),Antero (1)
Etelä-Savo,Anterus,1,1,1,1,Anterus (1),Anterus (1)
Etelä-Savo,Apissainen,1,1,1,1,Apissainen (1),Apissainen (1)
Etelä-Savo,Aram,1,1,1,1,Aram (1),Aram (1)
Etelä-Savo,Attalainen,1,1,1,1,Attalainen (1),Attalainen (1)
Etelä-Savo,Aunikki,1,1,1,1,Aunikki (1),Aunikki (1)
Etelä-Savo,Eerik (proper name),1,1,1,1,,Leerik (1)
Etelä-Savo,Eero,1,1,1,1,Eero (1),Eero (1)
Etelä-Savo,Eetvatti,1,1,1,1,Eetvatti (1),Ietam (1)
Etelä-Savo,Elias / Eljas,1,1,1,1,Eljas (1),Eljas (1)
Etelä-Savo,Ella,1,1,1,1,Ella (1),Ella (1)
Etelä-Savo,Ellen,1,1,1,1,Ellen (1),Ellen (1)
Etelä-Savo,Erik,1,1,1,1,Erik (1),Erik (1)
Etelä-Savo,Erika,1,1,1,1,Erika (1),Erika (1)
Etelä-Savo,Erkka?,1,1,1,1,Erkka? (1),Erkane (1)
Etelä-Savo,Gustav,1,1,1,1,Gustav (1),Gustavi (1)
Etelä-Savo,Haimi-la,1,1,1,1,Haimi-la (1),Haimi-las (1)
Etelä-Savo,Hannu,1,1,1,1,Hannu (1),Hannu (1)
Etelä-Savo,Hasso,1,1,1,1,Hasso (1),Hasso (1)
Etelä-Savo,Heiskala,1,1,1,1,Heiskala (1),Heiskala (1)
Etelä-Savo,Heiskalaan,1,1,1,1,Heiskalaan (1),Heiskalahan (1)
Etelä-Savo,Heiskas,1,1,1,1,Heiskas (1),Heiskas (1)
Etelä-Savo,Helena,1,1,1,1,Helena (1),Helena (1)
Etelä-Savo,Hemmer,1,1,1,1,Hemmer (1),Hemmer (1)
Etelä-Savo,Hilta,1,1,1,1,Hilta (1),Hilta (1)
Etelä-Savo,Hipula,1,1,1,1,Hipula (1),Hipula (1)
Etelä-Savo,Hitola,1,1,1,1,Hitola (1),Hitola (1)
Etelä-Savo,Husso (hypocoristic),1,1,1,1,Husso (hypocoristic) (1),Hussu (1)
Etelä-Savo,Huuhmar,1,1,1,1,Huuhmar (1),Huuhmar (1)
Etelä-Savo,Hymylä,1,1,1,1,Hymylä (1),Hymylä (1)
Etelä-Savo,Iinsalmi,1,1,1,1,Iinsalmi (1),Iinsalmi (1)
Etelä-Savo,Iisakki,1,1,1,1,Iisakki (1),Iisakki (1)
Etelä-Savo,Iita (name),1,1,1,1,Iita (name) (1),Iita (hypothetical root) (1)
Etelä-Savo,Iitam,1,1,1,1,Iitam (1),Iitam (1)
Etelä-Savo,Iram,1,1,1,1,Iram (1),Iram (1)
Etelä-Savo,Ito,1,1,1,1,Ito (1),Ito (1)
Etelä-Savo,Jaavel (proper noun),1,1,1,1,Jaavel (proper noun) (1),jaavel (1)
Etelä-Savo,Jordan,1,1,1,1,Jordan (1),Jordan (1)
Etelä-Savo,Jorik,1,1,1,1,Jorik (1),Jorik (1)
Etelä-Savo,Jortanen,1,1,1,1,Jortanen (1),Jortase (1)
Etelä-Savo,Jortani,1,1,1,1,Jortani (1),Jortani (1)
Etelä-Savo,Jortikka,1,1,1,1,Jortikka (1),Jortikka (1)
Etelä-Savo,Juhana,1,1,1,1,Juhana (1),Juhana (1)
Etelä-Savo,Julianna,1,1,1,1,Julianna (1),Julianna (1)
Etelä-Savo,Juortaan,1,1,1,1,Juortaan (1),Juortaan (1)
Etelä-Savo,Juosep,1,1,1,1,Juosep (1),Juosep (1)
Etelä-Savo,Jääske,1,1,1,1,Jääske (1),Jääske (1)
Etelä-Savo,Kaapro,1,1,1,1,Kaapro (1),Kaapro (1)
Etelä-Savo,Kalerva,1,1,1,1,Kalerva (1),Kalerva (1)
Etelä-Savo,Kanosa,1,1,1,1,Kanosa (1),Kanosa (1)
Etelä-Savo,Kapper,1,1,1,1,Kapper (1),Kapper (1)
Etelä-Savo,Karttu,1,1,1,1,Karttu (1),Karttu (1)
Etelä-Savo,Keinänen,1,1,1,1,Keinänen (1),Keinäsen (1)
Etelä-Savo,Kiekka,1,1,1,1,Kiekka (1),Kiekka (1)
Etelä-Savo,Kikka?,1,1,1,1,Kikka? (1),Kikko (1)
Etelä-Savo,Kipper,1,1,1,1,Kipper (1),Kipper (1)
Etelä-Savo,Kirsti,1,1,1,1,Kirsti (1),Kirsti (1)
Etelä-Savo,Kivennava,1,1,1,1,Kivennava (1),Kivennavan (1)
Etelä-Savo,Koikkala,1,1,1,1,Koikkala (1),Koikkala (1)
Etelä-Savo,Kokkolan,1,1,1,1,Kokkolan (1),Kokkolan (1)
Etelä-Savo,Kopeli,1,1,1,1,Kopeli (1),Kopeli (1)
Etelä-Savo,Koppala,1,1,1,1,Koppala (1),Koppalan (1)
Etelä-Savo,Kristiina,1,1,1,1,Kristiina (1),Kirsti (1)
Etelä-Savo,Kristo,1,1,1,1,Kristo (1),Risto (1)
Etelä-Savo,Kullervo,1,1,1,1,Kullervo (1),Kullervo (1)
Etelä-Savo,Kåpr,1,1,1,1,Kåpr (1),kåpri-n (1)
Etelä-Savo,Laara,1,1,1,1,Laara (1),Laara (1)
Etelä-Savo,Lappalo,1,1,1,1,Lappalo (1),Lappalo (1)
Etelä-Savo,Lassinen,1,1,1,1,Lassinen (1),Lassinen (1)
Etelä-Savo,Lautija,1,1,1,1,Lautija (1),Lautija (1)
Etelä-Savo,Leila,1,1,1,1,Leila (1),Leila (1)
Etelä-Savo,Liemo,1,1,1,1,Liemo (1),Liemo (1)
Etelä-Savo,Liika,1,1,1,1,Liika (1),Liika (1)
Etelä-Savo,Liina,1,1,1,1,Liina (1),Liena (1)
Etelä-Savo,Liina/Leena,1,1,1,1,Liina/Leena (1),Liena (1)
Etelä-Savo,Lilli,1,1,1,1,Lilli (1),Lillin (1)
Etelä-Savo,Lillin,1,1,1,1,Lillin (1),Lillin (1)
Etelä-Savo,Lohla,1,1,1,1,Lohla (1),Lohla (1)
Etelä-Savo,Loija,1,1,1,1,Loija (1),Loia (1)
Etelä-Savo,Luotila,1,1,1,1,Luotila (1),Luotila-n (1)
Etelä-Savo,Luterus,1,1,1,1,Luterus (1),Luterus (1)
Etelä-Savo,Maikki,1,1,1,1,Maikki (1),Maikki (1)
Etelä-Savo,Maikko,1,1,1,1,Maikko (1),Maikko (1)
Etelä-Savo,Makkola,1,1,1,1,Makkola (1),Makkola (1)
Etelä-Savo,Manni,1,1,1,1,Manni (1),Manni (1)
Etelä-Savo,Markkula,1,1,1,1,Markkula (1),Markkula (1)
Etelä-Savo,Mauno,1,1,1,1,Mauno (1),Mauno (1)
Etelä-Savo,Miina,1,1,1,1,Miina (1),Miina (1)
Etelä-Savo,Monola,1,1,1,1,Monola (1),Monola (1)
Etelä-Savo,Moro/mörkö,1,1,1,1,Moro/mörkö (1),moro/mörkö (1)
Etelä-Savo,Mönkkölään,1,1,1,1,Mönkkölään (1),Mönkkölään (1)
Etelä-Savo,Naarmu,1,1,1,1,Naarmu (1),Naarmu (1)
Etelä-Savo,Niipuri,1,1,1,1,Niipuri (1),Niipuri (1)
Etelä-Savo,Nikaus,1,1,1,1,Nikaus (1),Nikaus (1)
Etelä-Savo,Nilsin ääni,1,1,1,1,Nilsin ääni (1),Nilsiääni (1)
Etelä-Savo,Nolli,1,1,1,1,Nolli (1),Nolli (1)
Etelä-Savo,Närä,1,1,1,1,Närä (1),Närä (1)
Etelä-Savo,Otteljaana,1,1,1,1,Otteljaana (1),Otteljaana (1)
Etelä-Savo,Paavali,1,1,1,1,Paavali (1),Paavali (1)
Etelä-Savo,Paavo,1,1,1,1,Paavo (1),Puavo (1)
Etelä-Savo,Paavo/karhu,1,1,1,1,Paavo/karhu (1),poavo (1)
Etelä-Savo,Pajari,1,1,1,1,Pajari (1),Pajari (1)
Etelä-Savo,Pavo,1,1,1,1,Pavo (1),Pavo (1)
Etelä-Savo,Penttinen,1,1,1,1,Penttinen (1),Penttinen (1)
Etelä-Savo,Pernaa,1,1,1,1,Pernaa (1),Pernaalle (1)
Etelä-Savo,Pertti,1,1,1,1,Pertti (1),Pärttyli (1)
Etelä-Savo,Pietola,1,1,1,1,Pietola (1),Pietola (1)
Etelä-Savo,Pirkko,1,1,1,1,Pirkko (1),Pirkko (1)
Etelä-Savo,Puaval,1,1,1,1,Puaval (1),Puaval (1)
Etelä-Savo,Puavalina,1,1,1,1,Puavalina (1),Puavalina (1)
Etelä-Savo,Pulli,1,1,1,1,Pulli (1),Pulli (1)
Etelä-Savo,Raiska,1,1,1,1,Raiska (1),Raiska (1)
Etelä-Savo,Reino,1,1,1,1,Reino (1),Reino (1)
Etelä-Savo,Riitta,1,1,1,1,Riitta (1),Riitta (1)
Etelä-Savo,Riski,1,1,1,1,Riski (1),Riski (1)
Etelä-Savo,Rissanen,1,1,1,1,Rissanen (1),Rissanen (1)
Etelä-Savo,Ryynänen,1,1,1,1,Ryynänen (1),Ryynänen (1)
Etelä-Savo,Räikkölä,1,1,1,1,Räikkölä (1),Räikkölä (1)
Etelä-Savo,Saija,1,1,1,1,Saija (1),Saija (1)
Etelä-Savo,Saku,1,1,1,1,Saku (1),Saku (1)
Etelä-Savo,Salomo,1,1,1,1,Salomo (1),Salomo (1)
Etelä-Savo,Sander,1,1,1,1,Sander (1),sander (1)
Etelä-Savo,Santila,1,1,1,1,Santila (1),Santila (1)
Etelä-Savo,Simeli,1,1,1,1,Simeli (1),Simeli (1)
Etelä-Savo,Simola,1,1,1,1,Simola (1),Simola (1)
Etelä-Savo,Sivo,1,1,1,1,Sivo (1),Sivo (1)
Etelä-Savo,Sossola,1,1,1,1,Sossola (1),Sossola (1)
Etelä-Savo,Sulonen,1,1,1,1,Sulonen (1),Sulonen (1)
Etelä-Savo,Sunder,1,1,1,1,Sunder (1),sunder (1)
Etelä-Savo,Tahva,1,1,1,1,Tahva (1),Tahvana (1)
Etelä-Savo,Tahvana,1,1,1,1,Tahvana (1),Tahvana (1)
Etelä-Savo,Taneli,1,1,1,1,Taneli (1),Taneli (1)
Etelä-Savo,Tauri,1,1,1,1,Tauri (1),Tauri (1)
Etelä-Savo,Terttu,1,1,1,1,Terttu (1),Terttu+pa (1)
Etelä-Savo,Tiina,1,1,1,1,Tiina (1),tiina (1)
Etelä-Savo,Tiit,1,1,1,1,Tiit (1),Tiit (1)
Etelä-Savo,Tiitta,1,1,1,1,Tiitta (1),Tiitta (1)
Etelä-Savo,Tilli,1,1,1,1,Tilli (1),Tillin (1)
Etelä-Savo,Tillis,1,1,1,1,Tillis (1),Tillis (1)
Etelä-Savo,Timo,1,1,1,1,Timo (1),Timo (1)
Etelä-Savo,Tinttarivuori,1,1,1,1,Tinttarivuori (1),Tinttarivuori (1)
Etelä-Savo,Tirkkonen,1,1,1,1,Tirkkonen (1),Tirkkonen (1)
Etelä-Savo,Tompsa,1,1,1,1,Tompsa (1),Tompsa (1)
Etelä-Savo,Torstikki,1,1,1,1,Torstikki (1),Torstikki (1)
Etelä-Savo,Tuli,1,1,1,1,Tuli (1),Tuli (1)
Etelä-Savo,Tunnio,1,1,1,1,Tunnio (1),Tunnio (1)
Etelä-Savo,Tuorikki,1,1,1,1,Tuorikki (1),Tuorikki (1)
Etelä-Savo,Turja,1,1,1,1,Turja (1),Turja (1)
Etelä-Savo,Turkki,1,1,1,1,Turkki (1),Turkki (1)
Etelä-Savo,Tuusjärvi,1,1,1,1,Tuusjärvi (1),Tuusjärvi (1)
Etelä-Savo,Tyrjä,1,1,1,1,Tyrjä (1),Tyrjä (1)
Etelä-Savo,Tölkä,1,1,1,1,Tölkä (1),Tölkä (1)
Etelä-Savo,Urpo,1,1,1,1,Urpo (1),Urpo (1)
Etelä-Savo,Vempsa,1,1,1,1,Vempsa (1),Vem(p)sa (1)
Etelä-Savo,Verkuna,1,1,1,1,Verkuna (1),Verkuna (1)
Etelä-Savo,Ves,1,1,1,1,Ves (1),Ves (1)
Etelä-Savo,Vihtari,1,1,1,1,Vihtari (1),Vihtari (1)
Etelä-Savo,Viija,1,1,1,1,Viija (1),viijassa (1)
Etelä-Savo,Vilska,1,1,1,1,Vilska (1),vilskan (1)
Etelä-Savo,Vipunen,1,1,1,1,Vipunen (1),Vipunen (1)
Etelä-Savo,Virkkula,1,1,1,1,Virkkula (1),Virkkula (1)
Etelä-Savo,Virsu,1,1,1,1,Virsu (1),Virsu-hun (1)
Etelä-Savo,Vuoliantar,1,1,1,1,Vuoliantar (1),Vuoliantar (1)
Etelä-Savo,Vändinen,1,1,1,1,Vändinen (1),Vändinen (1)
Etelä-Savo,Väntinen,1,1,1,1,Väntinen (1),Väntinen (1)
Etelä-Savo,Wiinhuuvi,1,1,1,1,Wiinhuuvi (1),Wiinhuuvi (1)
Etelä-Savo,Wäisänen,1,1,1,1,Wäisänen (1),Wäisänen (1)
Etelä-Savo,hane,1,1,1,1,hane (1),aane (1)
Etelä-Savo,heijonen,1,1,1,1,heijonen (1),heijonen (1)
Etelä-Savo,kuija,1,1,1,1,kuija (1),kuija (1)
Etelä-Savo,kurentua,1,1,1,1,kurentua (1),kurentua/Kurenni (1)
Etelä-Savo,laskiainen,1,1,1,1,laskiainen (1),laskiainen (1)
Etelä-Savo,leppäpirkko,1,1,1,1,leppäpirkko (1),leppäpirkko (1)
Etelä-Savo,nimeesi,1,1,1,1,nimeesi (1),nimi+see (1)
Etelä-Savo,nimesi,1,1,1,1,nimesi (1),nimmeis (1)
Etelä-Savo,nimetön,1,1,1,1,nimetön (1),nimetön (1)
Etelä-Savo,nimi (name),1,1,1,1,nimi (name) (1),nimes (1)
Etelä-Savo,nukkumatti,1,1,1,1,nukkumatti (1),nukkumatti (1)
Etelä-Savo,pika,1,1,1,1,pika (1),pika (1)
Etelä-Savo,pissa,1,1,1,1,pissa (1),pissa (1)
Etelä-Savo,rakki,1,1,1,1,rakki (1),rakki (1)
Etelä-Savo,suutari-Jussi,1,1,1,1,suutari-Jussi (1),suutari-Jussi (1)
Etelä-Savo,tilli,1,1,1,1,tilli (1),tillin (1)
Etelä-Savo,torkku & Tuomas,1,1,1,1,torkku & Tuomas (1),torkku & Tuomas (1)
Etelä-Savo,tuomolainen,1,1,1,1,tuomolainen (1),tuomolainen (1)
Etelä-Savo,ulla,1,1,1,1,ulla (1),ulla (1)
Etelä-Savo,uni & Jukka,1,1,1,1,uni & Jukka (1),uni & Jukka (1)
Etelä-Savo,viipurivappu,1,1,1,1,viipurivappu (1),viipurivappu (1)
Harjumaa,Mary / Maria / Maarja / Mari,294,184,9,24,mari (133); Mari (114); Maarja (20); Maria (16); Maaria (6); Marike (2); marjukene (1); marjakene (1),mari (112); Mari (110); Maria (15); Maarja (15); marja (11); Maaria (7); marjuke (3); Marikene (2)
Harjumaa,God / Jumala / Jumal,268,188,15,25,jumal (74); Jumal (54); härra (50); herra (40); looja (22); isand (10); Looja (6); issand (3),jumal (67); härra (46); Jumal (44); herra (40); looja (16); isand (8); luoja (7); issand (6)
Harjumaa,John / Jaan / Jussi / Hans,181,101,13,25,Jaan (68); Hans (52); Ants (34); Juhan (6); Juss (5); Joan (5); Johannes (3); hans (2),Jaan (53); Hans (41); Ants (34); Hants (7); jaan (7); Juhan (6); Jussi (3); Hansu (3)
Harjumaa,Martin / Mart / Märt,131,41,12,12,Mart (63); mart (35); mard (19); Marti (3); mardi (3); mardid (2); Mardi (1); Mard (1),Mart (48); mart (36); mard (17); Marti (16); mardi (4); Mardi (2); Mard (2); mardid (2)
Harjumaa,Catherine / Kadri / Katri,129,23,9,9,Kadri (61); kadri (45); kadrike (9); kadr (5); Kadril (2); Kaie (2); Kai (2); kadril (2),Kadri (61); kadri (45); kadrikene (9); kadr (5); Kadril (2); Kaie (2); Kai (2); kadril (2)
Harjumaa,Anna / Anne / Ann / Anni,123,82,15,19,Anne (41); anne (37); Ann (21); Anna (8); Anni (5); Annake (2); Anna/and (1); ann (1),Anne (38); anne (28); Ann (22); Anna (7); and (5); Anni (5); annekene (3); anned (2)
Harjumaa,George / Jüri,78,46,3,7,Jüri (76); jüri (1),Jüri (61); Jürg (8); Juri (5); Jürgi (1); jüri_si_llä (1); Jürgisillä (1)
Harjumaa,Elizabeth / Liisa / Liisu / Elli,71,44,7,10,Liisu (49); Liisa (14); liisu (3); Liisakene (2); Elli (1); Liisuke (1); Liisul (1),Liisu (42); Liisa (14); liisu (4); liisud (3); liisakene (2); Liisul (2); liisult (1); Elli (1)
Harjumaa,Kalev / Kalervo,69,48,4,9,Kalev (55); kalev (11); kalkun (2); Kalevi (1),Kalev (41); Kalevi (11); kalev (11); kale (1); kalevil (1); Kalevine (1); kalevise (1); kalevine (1)
Harjumaa,Michael / Mikko / Mihkel,64,29,6,15,Mihkel (35); Mikk (17); mihkel (5); Miku (4); Migu (2); Mihel (1),Mihkel (23); Mikk (13); Mihk (6); mihkel (5); Miku (4); Mikku (3); Migu (2); Mihkli (1)
Harjumaa,Kai,45,27,1,4,Kai (45),Kai (35); Kaie (5); kaielt (3); Kaiele (2)
Harjumaa,Peter / Pietari / Peeter,45,33,4,11,Peeter (35); Peetrus (8); Peterburi (1); Pietari (1),Peeter (24); Peetrus (8); Pieter (4); Pietrus (2); Pietari (1); Peedari (1); Petraluis (1); Piedri (1)
Harjumaa,Mai,41,11,1,3,Mai (41),Mai (36); Maie (4); Maiega (1)
Harjumaa,Simon / Siim / Simo,41,10,1,3,Siim (41),Siim (35); Siimu (3); Siimo (3)
Harjumaa,Jesus / Christ,38,21,5,9,Jeesus (25); Kristus (6); Jesus (5); Iesus (1); Jeesukene (1),Jeesus (21); Jesus (5); kristus (3); Kristus (3); jiesus (2); Iesus (1); Jiesukene (1); Jeesukene (1)
Harjumaa,Thomas / Toomas / Tuomas,29,22,2,5,Toomas (24); Tuomas (5),Toomas (18); Tuomas (7); Tuoma (2); toomas (1); Tooma (1)
Harjumaa,Matthew / Matti,23,19,4,4,Mats (15); mats (6); Madis (1); Matsi (1),Mats (13); mats (6); Matsi (3); Madis (1)
Harjumaa,Tiiu,21,13,1,1,Tiiu (21),Tiiu (21)
Harjumaa,Kaie,19,13,1,1,Kaie (19),Kaie (19)
Harjumaa,Andrew / Antti,10,10,3,3,Andres (8); andres (1); Andrese+le (1),Andres (8); andres (1); Andrese+le (1)
Harjumaa,Jacob / Jaak / Jaakko,9,9,3,5,Jaak (7); Jaagup (1); Jaakob (1),Jaak (5); Jaagubi (1); Jaag (1); jaagu (1); Jaako (1)
Harjumaa,Joan,8,3,1,1,Joan (8),Joan (8)
Harjumaa,Maieke,8,1,1,1,Maieke (8),Maiekene (8)
Harjumaa,Eve / Eeva,7,3,1,1,Eeva (7),Eeva (7)
Harjumaa,Maie,7,5,1,1,Maie (7),Maie (7)
Harjumaa,Mampsel,7,3,1,2,Mampsel (7),Mampsel (4); mampsel (3)
Harjumaa,Judas / Juudas,6,6,2,3,Juudas (5); juudas (1),Juudas (4); juudas (1); Juuda (1)
Harjumaa,Leming,6,1,1,4,Leming (6),Leminge (2); Leming (2); Lemingäs (1); Lemingäne (1)
Harjumaa,mai,6,2,1,2,mai (6),maie (3); mai (3)
Harjumaa,Eedu,5,1,1,1,Eedu (5),Eedu (5)
Harjumaa,Kiiu,5,4,1,1,Kiiu (5),Kiiu (5)
Harjumaa,Kopa,5,1,1,1,Kopa (5),Kopa (5)
Harjumaa,Malle,5,4,1,2,Malle (5),Malle (4); mallelt (1)
Harjumaa,kaie,5,1,1,1,kaie (5),kaie (5)
Harjumaa,Ani,4,1,1,1,Ani (4),Ani (4)
Harjumaa,Henela,4,1,1,1,Henela (4),henelan (4)
Harjumaa,Kärtu,4,1,1,1,Kärtu (4),Kärtu (4)
Harjumaa,Lauri,4,4,1,1,Lauri (4),Lauri (4)
Harjumaa,Lemminkäinen,4,1,1,2,Lemminkäinen (4),Lemmingi (3); Lemming (1)
Harjumaa,Lilla,4,3,1,1,Lilla (4),Lilla (4)
Harjumaa,Mann,4,2,1,1,Mann (4),Mann (4)
Harjumaa,Ollender,4,2,1,2,Ollender (4),Ollender (3); Ollendri (1)
Harjumaa,Pihuvere,4,1,1,1,Pihuvere (4),Pihuvere (4)
Harjumaa,Rapu,4,1,1,1,Rapu (4),Rapu (4)
Harjumaa,Sarah / Saara,4,1,1,1,Saara (4),Saara (4)
Harjumaa,kai,4,2,1,1,kai (4),kai (4)
Harjumaa,Aabla,3,1,1,1,Aabla (3),Aabla (3)
Harjumaa,Antsu,3,2,1,1,Antsu (3),Antsu (3)
Harjumaa,Hants,3,1,1,1,Hants (3),Hants (3)
Harjumaa,Iedu,3,1,1,1,Iedu (3),Iedu (3)
Harjumaa,Iir,3,1,1,2,Iir (3),Iire (2); Iir (1)
Harjumaa,Kahala,3,2,1,2,Kahala (3),Kahal (2); Kahala (1)
Harjumaa,Kott,3,1,1,1,Kott (3),Koti (3)
Harjumaa,Kärt,3,3,1,1,Kärt (3),Kärt (3)
Harjumaa,Lällu,3,2,1,1,Lällu (3),Lällu (3)
Harjumaa,Madli,3,2,1,2,Madli (3),Madli (2); madli (1)
Harjumaa,Maim,3,1,1,1,Maim (3),Maim (3)
Harjumaa,Maitla,3,1,1,1,Maitla (3),Maitla (3)
Harjumaa,Mardi,3,2,1,1,Mardi (3),Mardi (3)
Harjumaa,Maret,3,2,1,1,Maret (3),Maret (3)
Harjumaa,Nirg,3,2,1,1,Nirg (3),Nirgi (3)
Harjumaa,Rae,3,3,1,1,Rae (3),Rae (3)
Harjumaa,Salme,3,3,1,1,Salme (3),Salme (3)
Harjumaa,Tarma,3,2,1,1,Tarma (3),Tarma (3)
Harjumaa,Uilsi,3,1,1,1,Uilsi (3),Uilsi (3)
Harjumaa,(proper noun),2,2,1,2,(proper noun) (2),Nirgi (1); (proper noun) (1)
Harjumaa,Andrus,2,1,1,1,Andrus (2),Andrus (2)
Harjumaa,Anija,2,1,1,1,Anija (2),Anija (2)
Harjumaa,Ants,2,2,1,2,Ants (2),Antsu (1); antsukene (1)
Harjumaa,Ell,2,1,1,1,Ell (2),Ellu (2)
Harjumaa,Elts,2,1,1,1,Elts (2),Eltse (2)
Harjumaa,Henry / Heikki,2,1,1,1,Hindrek (2),Hindrek (2)
Harjumaa,Ieru,2,1,1,1,Ieru (2),Ieru (2)
Harjumaa,Ilja,2,1,1,1,Ilja (2),Ilja (2)
Harjumaa,Jopp,2,1,1,1,Jopp (2),Jopp (2)
Harjumaa,Juuli,2,1,1,1,Juuli (2),Juuli (2)
Harjumaa,Kaarel,2,2,1,1,Kaarel (2),Kaarel (2)
Harjumaa,Kambi,2,1,1,1,Kambi (2),Kambi (2)
Harjumaa,Kartu,2,1,1,1,Kartu (2),Kartu (2)
Harjumaa,Kihmla,2,1,1,1,Kihmla (2),Kihmla (2)
Harjumaa,Kilu,2,2,1,1,Kilu (2),Kilu (2)
Harjumaa,Kimbela,2,2,1,1,Kimbela (2),Kimbela (2)
Harjumaa,Kodasoo,2,1,1,1,Kodasoo (2),Kodasoo (2)
Harjumaa,Kogu,2,1,1,1,Kogu (2),Kuog (2)
Harjumaa,Koisu,2,1,1,1,Koisu (2),Koisu (2)
Harjumaa,Kolga,2,2,1,1,Kolga (2),Kolga (2)
Harjumaa,Kurna,2,2,1,1,Kurna (2),Kurna (2)
Harjumaa,Lamm,2,1,1,1,Lamm (2),Lamm (2)
Harjumaa,Leena,2,1,1,1,Leena (2),Leena (2)
Harjumaa,Leenu,2,2,1,1,Leenu (2),Leenu (2)
Harjumaa,Leereland,2,1,1,1,Leereland (2),Leereland (2)
Harjumaa,Liberland,2,1,1,1,Liberland (2),Liberland (2)
Harjumaa,Lienu,2,1,1,1,Lienu (2),Lienu (2)
Harjumaa,Lihverland,2,1,1,2,Lihverland (2),Lihverlandi (1); Lihverlant (1)
Harjumaa,Luiste,2,1,1,1,Luiste (2),Luiste (2)
Harjumaa,Mahola,2,1,1,1,Mahola (2),Mahola (2)
Harjumaa,Mareta,2,2,1,1,Mareta (2),Mareta (2)
Harjumaa,Miiling,2,1,1,1,Miiling (2),Miiling (2)
Harjumaa,Miku,2,1,1,1,Miku (2),Miku (2)
Harjumaa,Muisi,2,1,1,1,Muisi (2),Muisi (2)
Harjumaa,Nikker,2,1,1,1,Nikker (2),Nikker (2)
Harjumaa,Nirgi,2,2,1,1,Nirgi (2),Nirgi (2)
Harjumaa,Oleviste,2,1,1,1,Oleviste (2),Oleviste (2)
Harjumaa,Ott,2,1,1,1,Ott (2),Oti (2)
Harjumaa,Paats,2,1,1,1,Paats (2),Paats (2)
Harjumaa,Paldiski,2,1,1,1,Paldiski (2),Paldiski (2)
Harjumaa,Peibes,2,1,1,1,Peibes (2),Peibes (2)
Harjumaa,Preever,2,1,1,1,Preever (2),Preever (2)
Harjumaa,Pukatsson,2,1,1,1,Pukatsson (2),Pukatssoo (2)
Harjumaa,Pundi,2,1,1,1,Pundi (2),Pundi (2)
Harjumaa,Punn,2,2,1,1,Punn (2),Punn (2)
Harjumaa,Põtrus,2,1,1,2,Põtrus (2),põtrusesse (1); põtrusesta (1)
Harjumaa,Pürje,2,2,1,1,Pürje (2),Pürje (2)
Harjumaa,Ravila,2,1,1,1,Ravila (2),Ravila (2)
Harjumaa,Rääbla,2,1,1,1,Rääbla (2),Rääbla (2)
Harjumaa,Siimu,2,1,1,1,Siimu (2),Siimu (2)
Harjumaa,Tarmaste,2,2,1,1,Tarmaste (2),Tarmaste (2)
Harjumaa,Tarmo,2,2,1,2,Tarmo (2),Tarmo (1); Tarma (1)
Harjumaa,Teppelmann,2,1,1,1,Teppelmann (2),Teppelmann (2)
Harjumaa,Ungur,2,1,1,1,Ungur (2),Ungur (2)
Harjumaa,Unt,2,2,1,1,Unt (2),Unt (2)
Harjumaa,Utregas,2,1,1,2,Utregas (2),Utregas (1); Utregane (1)
Harjumaa,Vaisi,2,1,1,1,Vaisi (2),Vaisi (2)
Harjumaa,Vinn,2,2,1,1,Vinn (2),Vinn (2)
Harjumaa,Visku,2,1,1,1,Visku (2),Visku (2)
Harjumaa,Zooru,2,1,1,1,Zooru (2),Zooru (2)
Harjumaa,lõõri,2,1,1,1,lõõri (2),lõõri (2)
Harjumaa,(unclear),1,1,1,1,(unclear) (1),Agudis (1)
Harjumaa,(unknown),1,1,1,1,(unknown) (1),Roodom (1)
Harjumaa,Aab,1,1,1,1,Aab (1),Aab (1)
Harjumaa,Aada,1,1,1,1,Aada (1),Aada (1)
Harjumaa,Aadu,1,1,1,1,Aadu (1),aadu (1)
Harjumaa,Abaja,1,1,1,1,Abaja (1),Abaja (1)
Harjumaa,Adu,1,1,1,1,Adu (1),Adu (1)
Harjumaa,Aki,1,1,1,1,Aki (1),Aki (1)
Harjumaa,Alavere,1,1,1,1,Alavere (1),Alavere (1)
