person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Tuuteri,unmapped_possible_person_name,low,Tuuteri,Tuuteri,Tuuterissa,(proper noun),in Tuuteri,4,4,2,Keski-Inkeri (3); Itä- ja Pohjois-Inkeri (1),Venjoki (1); Serepetta (1); Kupanitsa (1); Toksova (1)
Tõnis,unmapped_possible_person_name,low,Tõnis,Tõnis,Tõnis,(proper name),Tõnis,4,3,2,Viljandimaa (2); Pärnumaa (2),Helme (2); Häädemeeste (1); Tori (1)
Tõnu,unmapped_possible_person_name,low,Tõnu,Tõnu,Tõnu,proper noun,Tõnu (name),4,1,1,Virumaa (4),Jõhvi (4)
Tünda,unmapped_possible_person_name,low,Tünda,Tünda,Tünda,proper name,Tünda,4,1,2,Võrumaa (2); Valgamaa (2),Karula (2); Valga (2)
Ukko,mythic_or_religious_deity,medium,Ukko,Ukko,Ukko,*ukko,old man/Ukko,4,2,1,Laatokan Karjala (Raja-Karjala) (4),Suistamo (4)
Ukko,mythic_or_religious_deity,medium,Ukko,Ukko,Ukko,Ukko (proper noun),Ukko,4,4,4,Uusimaa (1); Laatokan Karjala (Raja-Karjala) (1); Peräpohjola (1); Itä- ja Pohjois-Inkeri (1),Mäntsälä (1); Sortavala (1); Karunki (1); Lempaala (1)
Ukko,mythic_or_religious_deity,medium,Ukko,Ukko,Ukko,Ukko (proper noun),Ukko (thunder god),4,4,2,Etelä-Karjala (3); Pohjois-Savo (1),Johannes (1); Säkkijärvi (1); Kivennapa (1); Kuopio (1)
Ukko,mythic_or_religious_deity,medium,Ukko,ukko,Ukko,ukko,old man,4,1,1,Laatokan Karjala (Raja-Karjala) (4),Suistamo (4)
Ukko,mythic_or_religious_deity,medium,Ukko,ukko,ukon,Ukko,Ukko's,4,4,4,Etelä-Savo (1); Etelä-Karjala (1); Laatokan Karjala (Raja-Karjala) (1); Itä- ja Pohjois-Inkeri (1),Sääminki (1); Muolaa (1); Impilahti (1); Lempaala (1)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,Ukko,ukko,old man/God,4,2,1,Pohjois-Karjala (4),Ilomantsi (3); Kitee (1)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,Ukko,ukko (Proto-Finnic *ukko),old man,4,4,3,Pohjois-Savo (2); Uusimaa (1); Keski-Suomi (1),Maaninka (1); Helsinki (1); Sonkajärvi (1); Saarijärvi (1)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukko,*ukko,man,4,3,2,Peräpohjola (3); Pohjois-Karjala (1),Karunki (2); Rovaniemi (1); Kitee (1)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukko,ukko (Proto-Finnic *ukko),old man,4,3,3,Uusimaa (2); Etelä-Karjala (1); Keski-Suomi (1),Kymi (2); Viipuri (1); Rautalampi (1)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukosta,ukko,from old man,4,4,3,Pohjois-Savo (1); Laatokan Karjala (Raja-Karjala) (1); Itä- ja Pohjois-Inkeri (1),Nilsiä (1); Suistamo (1); Rääpyvä (1)
Ukko,mythic_or_religious_deity,medium,ukko,uko,ukko,ukko,old man,4,2,2,Pohjois-Savo (3); Etelä-Karjala (1),Varkaus (3); Koivisto (1)
Ukko,mythic_or_religious_deity,medium,ukko,uukko,ukon,ukko,old man's,4,4,2,Länsi-Inkeri (2); Keski-Inkeri (2),Soikkola (2); Serepetta (1); Kaprio (1)
Untamo,unmapped_possible_person_name,low,Untamo,Untoi,Untamon,(name),Untamo's,4,1,1,Länsi-Inkeri (4),Soikkola (4)
Untamo,unmapped_possible_person_name,low,Untamo,untamon,Untamon,Untamo,Untamo's,4,2,2,Etelä-Karjala (3); Keski-Inkeri (1),Sakkola (3); Kaprio (1)
Untamo,unmapped_possible_person_name,low,Untamo,untoi,Untamo,Untamo,Untamo,4,2,2,Keski-Inkeri (3); Länsi-Inkeri (1),Kaprio (3); Soikkola (1)
Vaaba,unmapped_possible_person_name,low,Vaaba,Vaaba,Vaaba,(proper name),(name),4,1,1,Tartumaa (4),Nõo (4)
Vaabi,unmapped_possible_person_name,low,Vaabi,Vaabi,Vaabi,(proper name),Vaabi,4,1,1,Tartumaa (4),Nõo (4)
Vappu,unmapped_possible_person_name,low,Vappu,Vappu,Vappu,Proper name,Vappu,4,1,1,Etelä-Karjala (4),Räisälä (4)
Veljo,unmapped_possible_person_name,low,Veljo,velo,Veljo,(proper name),Veljo,4,1,1,Võrumaa (4),Räpina (4)
Vihta,unmapped_possible_person_name,low,Vihta,Wihta,vihta,vihta (personal name element),(name element),4,1,1,Keski-Suomi (4),Viitasaari (4)
Väinämöinen,mythic_epic,high,Väinämöinen,Veännälmöinen,Veännälmöinen,Väinämöinen,Väinämöinen,4,1,1,Laatokan Karjala (Raja-Karjala) (4),Salmi (4)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämö,Väinämösen,Väinämöinen,Väinämö's,4,1,1,Laatokan Karjala (Raja-Karjala) (4),Suistamo (4)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöine,Väinämöisen,Väinämöinen,Väinämöinen's,4,4,3,Laatokan Karjala (Raja-Karjala) (2); Viena (1); Pohjois-Karjala (1),Vuokkiniemi (1); Suojärvi (1); Suistamo (1); Kontiolahti (1)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöinen,Väinämöin,Väinä + möinen,Väinämöinen's,4,1,1,Länsi-Inkeri (4),Soikkola (4)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöinen,Väinämöinen,*väinämöinen,Väinämöinen,4,3,3,Laatokan Karjala (Raja-Karjala) (2); Kainuu (1); Etelä-Savo (1),Suistamo (2); Sotkamo (1); Lemi (1)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöini,Väinämöini,Väinämöinen,Väinämöinen,4,1,1,Viena (4),Uhtua (4)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöini,Väinämöisen,Väinämöinen,Väinämöinen's,4,2,2,Viena (2); Laatokan Karjala (Raja-Karjala) (2),Kiestinki (2); Suistamo (2)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöise+n,Väinämöisen,Väinämöinen,Väinämöinen's,4,3,3,Pohjois-Savo (2); Etelä-Savo (1); Laatokan Karjala (Raja-Karjala) (1),Pielavesi (2); Sääminki (1); Suistamo (1)
Väinämöinen,mythic_epic,high,Väinämöinen,väinäm,Väinämöinen,Väinämöinen,Väinämöinen,4,1,2,Kainuu (2); Viena (2),Kainuu (2); Viena (2)
Väinämöinen,mythic_epic,high,Väinämöinen,väinämöini,Väinämöisen,Väinämöinen,Väinämöinen's,4,3,2,Viena (3); Laatokan Karjala (Raja-Karjala) (1),Pistojärvi (2); Kontokki (1); Soanlahti (1)
Väinämöinen,mythic_epic,high,Väinämöisen,Väinämöise+n,Väinämöisen,väinä & möö,Väinämöinen's,4,1,1,Laatokan Karjala (Raja-Karjala) (4),Suojärvi (4)
Väinämöinen,mythic_epic,high,Väinö,Väinö,Väinö,Väinämöinen,Väinö,4,2,2,Viena (2); Laatokan Karjala (Raja-Karjala) (2),Vuokkiniemi (2); Suistamo (2)
lõõri,unmapped_possible_person_name,low,lõõri,lõõri,lõõri,lõõr (archaic bird name),luring,4,1,2,välismaa (2); Harjumaa (2),välismaa (2); Jüri (2)
sõeru,unmapped_possible_person_name,low,sõeru,sõeru,Sõeru,Proper noun (unclear etymology),Sõeru,4,1,1,Läänemaa (4),Karuse (4)
Ärrä,unmapped_possible_person_name,low,Ärrä,ärrä,Ärrä,(proper name),Ärrä,4,1,1,Viljandimaa (4),Viljandi (4)
(name),unmapped_possible_person_name,low,(name),Ismaro,Ismaro,(name),Ismaro,3,1,1,Länsi-Inkeri (3),Narvusi (3)
(name),unmapped_possible_person_name,low,(name),Miiloi,Miiloja,(proper noun),Miilo's,3,1,1,Viena (3),Vuokkiniemi (3)
(proper name),unmapped_possible_person_name,low,(proper name),Ismaroi,Ismaroin,(proper name),of Ismaro,3,1,1,Länsi-Inkeri (3),Soikkola (3)
(proper name),unmapped_possible_person_name,low,(proper name),Kalervikko,Kalervikko,(name),Kalervi,3,1,1,Länsi-Inkeri (3),Soikkola (3)
(proper noun),unmapped_possible_person_name,low,(proper noun),Osmero,Osmeroilta,(proper noun),from Osmero's,3,1,1,Länsi-Inkeri (3),Soikkola (3)
(proper noun),unmapped_possible_person_name,low,(proper noun),Palaga,Palaga,(proper noun),Palaga,3,1,1,Länsi-Inkeri (3),Soikkola (3)
(proper noun),unmapped_possible_person_name,low,(proper noun),Unno,Unnon,(name),of Unno,3,1,1,Keski-Inkeri (3),Kaprio (3)
(proper noun),unmapped_possible_person_name,low,(proper noun),Venna,Vennon,(name),of Venna,3,1,1,Keski-Inkeri (3),Kaprio (3)
Aabla,unmapped_possible_person_name,low,Aabla,Aabla,Aabla,(proper name),Aabla,3,1,1,Harjumaa (3),Kuusalu (3)
Aadu,unmapped_possible_person_name,low,Aadu,Aadu,Aadu,proper name,Aadu,3,1,1,Virumaa (3),Haljala (3)
Aapeli,unmapped_possible_person_name,low,Aapeli,Aapeli,Aapeli,proper name,Aapeli,3,1,1,Pohjois-Karjala (3),Kesälahti (3)
Adu,unmapped_possible_person_name,low,Adu,Adu,Adu,proper name,Adu,3,1,1,Saaremaa (3),Anseküla (3)
Ago,unmapped_possible_person_name,low,Ago,Ago,Ago,(proper noun),Ago,3,2,3,Viljandimaa (1); välismaa (1); Tartumaa (1),Helme (1); välismaa (1); Võnnu (1)
Aino,unmapped_possible_person_name,low,Aino,Aino,Aino,ainoa,Aino,3,2,2,Laatokan Karjala (Raja-Karjala) (2); Keski-Inkeri (1),Salmi (2); Kupanitsa (1)
Akkeli,unmapped_possible_person_name,low,Akkeli,Akkeli,Akkelin,Akkeli (proper name),Akkeli's,3,3,1,Häme (3),Hattula (1); Hausjärvi (1); Asikkala (1)
Akkeri,unmapped_possible_person_name,low,Akkeri,Akkeri,Akkerin,(proper name),Akkeri's,3,3,2,Häme (2); Satakunta (1),Nokia (1); Janakkala (1); Hauho (1)
Allan,unmapped_possible_person_name,low,Allan,Allan,Allan,Allan (personal name),Allan,3,3,2,Peräpohjola (2); Keski-Suomi (1),Rovaniemi (2); Saarijärvi (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Alli,Alli,Alli,3,2,2,Läänemaa (2); Pohjois-Karjala (1),Karuse (2); Pielisjärvi (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Allin,*Alli (proper name),Alli's,3,3,3,Varsinais-Suomi (1); Pohjois-Pohjanmaa (1); Keski-Suomi (1),Kiikala (1); Oulu (1); Saarijärvi (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Allin,Alli (diminutive name),Alli's,3,3,3,Etelä-Karjala (1); Häme (1); Etelä-Pohjanmaa (1),Heinjoki (1); Hauho (1); Veteli (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Allin,Alli (hypocoristic name),Alli's,3,3,2,Keski-Suomi (1); Varsinais-Suomi (1),Saarijärvi (1); Uskela (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Allin,Proper name,Alli's,3,3,3,Pohjois-Karjala (1); Varsinais-Suomi (1); Etelä-Karjala (1),Kontiolahti (1); Halikko (1); Uusikirkko Vpl. (1)
Alli,unmapped_possible_person_name,low,Alli,Alli,Allin,proper name,Alli's,3,2,2,Pohjois-Karjala (2); Keski-Suomi (1),Joensuu (2); Saarijärvi (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antin,Antti (proper noun),Antti's,3,3,2,Viena (2); Etelä-Savo (1),Vuokkiniemi (1); Viena (1); Taipalsaari (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,,Antti,3,3,3,Etelä-Karjala (1); Itä- ja Pohjois-Inkeri (1); Pohjois-Karjala (1),Säkkijärvi (1); Lempaala (1); Eno (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,*Antti,Antti,3,1,1,Keski-Inkeri (3),Skuoritsa (3)
