person_cluster,area_name,category,mentions,poems
Smith / Blacksmith,Mynämäki,Other,1,1
Smith / Blacksmith,Mäntyharju,seppä,1,1
Smith / Blacksmith,Märjamaa,Other,2,1
Smith / Blacksmith,Märjamaa,compound -sepp,5,3
Smith / Blacksmith,Märjamaa,sepp,4,3
Smith / Blacksmith,Narvusi,Other,5,4
Smith / Blacksmith,Narvusi,compound -sepp,15,14
Smith / Blacksmith,Narvusi,seppo,2,1
Smith / Blacksmith,Narvusi,seppä,182,85
Smith / Blacksmith,Narvusi,takoja,16,14
Smith / Blacksmith,Nilsiä,seppo,1,1
Smith / Blacksmith,Nilsiä,seppä,3,2
Smith / Blacksmith,Nivala,Other,1,1
Smith / Blacksmith,Nivala,compound -sepp,1,1
Smith / Blacksmith,Nousiainen,seppä,2,2
Smith / Blacksmith,Nurmes,Other,1,1
Smith / Blacksmith,Nurmes,compound -sepp,2,2
Smith / Blacksmith,Nurmes,seppä,4,3
Smith / Blacksmith,Nurmijärvi,seppä,4,1
Smith / Blacksmith,Nõo,sepp,3,1
Smith / Blacksmith,Orimattila,seppä,2,2
Smith / Blacksmith,Otepää,sepp,6,1
Smith / Blacksmith,Paide,Other,1,1
Smith / Blacksmith,Paide,compound -sepp,2,1
Smith / Blacksmith,Paistu,Other,3,3
Smith / Blacksmith,Paistu,compound -sepp,12,9
Smith / Blacksmith,Paistu,sepp,27,14
Smith / Blacksmith,Palamuse,Other,6,5
Smith / Blacksmith,Palamuse,compound -sepp,3,3
Smith / Blacksmith,Palamuse,sepp,8,6
Smith / Blacksmith,Paltamo,seppä,3,1
Smith / Blacksmith,Parikkala,seppä,5,3
Smith / Blacksmith,Peetri,Other,2,2
Smith / Blacksmith,Peetri,compound -sepp,2,1
Smith / Blacksmith,Peetri,sepp,3,3
Smith / Blacksmith,Perho,seppä,1,1
Smith / Blacksmith,Perniö,seppä,10,2
Smith / Blacksmith,Petroskoi,seppä,2,1
Smith / Blacksmith,Pieksämäki,compound -sepp,2,1
Smith / Blacksmith,Pieksämäki,seppä,1,1
Smith / Blacksmith,Pielavesi,seppä,1,1
Smith / Blacksmith,Pielisjärvi,Other,2,1
Smith / Blacksmith,Pielisjärvi,seppä,7,6
Smith / Blacksmith,Piikkiö,seppä,4,2
Smith / Blacksmith,Piippola,seppä,1,1
Smith / Blacksmith,Pilistvere,compound -sepp,2,2
Smith / Blacksmith,Pilistvere,sepp,9,4
Smith / Blacksmith,Polvijärvi,seppä,3,3
Smith / Blacksmith,Porajärvi,compound -sepp,2,2
Smith / Blacksmith,Porajärvi,seppä,22,5
Smith / Blacksmith,Pudasjärvi,seppä,1,1
Smith / Blacksmith,Puhja,compound -sepp,3,2
Smith / Blacksmith,Puhja,sepp,5,4
Smith / Blacksmith,Pulkkila,seppä,1,1
Smith / Blacksmith,Punkalaidun,seppä,2,1
Smith / Blacksmith,Puolanka,compound -sepp,1,1
