person_cluster,variant_by_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Peter / Pietari / Peeter,Peeter,Finland/Savo-Karelia,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Ingria,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,East Karelia/Veps/Tver,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Other/unclear,15,0.008356545961002786,0.031914893617021274
Peter / Pietari / Peeter,Pekka,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,Finland/Savo-Karelia,324,0.18050139275766017,0.8852459016393442
Peter / Pietari / Peeter,Pekka,Ingria,9,0.005013927576601671,0.02459016393442623
Peter / Pietari / Peeter,Pekka,East Karelia/Veps/Tver,29,0.01615598885793872,0.07923497267759563
Peter / Pietari / Peeter,Pekka,Other/unclear,4,0.0022284122562674096,0.01092896174863388
Peter / Pietari / Peeter,Petteri/Petri,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Petteri/Petri,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Petteri/Petri,Finland/Savo-Karelia,27,0.015041782729805013,0.2523364485981308
Peter / Pietari / Peeter,Petteri/Petri,Ingria,39,0.021727019498607242,0.3644859813084112
Peter / Pietari / Peeter,Petteri/Petri,East Karelia/Veps/Tver,40,0.022284122562674095,0.37383177570093457
Peter / Pietari / Peeter,Petteri/Petri,Other/unclear,1,0.0005571030640668524,0.009345794392523364
Peter / Pietari / Peeter,Other,Estonia core/west,39,0.021727019498607242,0.41935483870967744
Peter / Pietari / Peeter,Other,South Estonia/Seto,16,0.008913649025069638,0.17204301075268819
Peter / Pietari / Peeter,Other,Finland/Savo-Karelia,19,0.010584958217270195,0.20430107526881722
Peter / Pietari / Peeter,Other,Ingria,11,0.006128133704735376,0.11827956989247312
Peter / Pietari / Peeter,Other,East Karelia/Veps/Tver,5,0.002785515320334262,0.053763440860215055
Peter / Pietari / Peeter,Other,Other/unclear,3,0.001671309192200557,0.03225806451612903
Martin / Mart / Märt,Märt,Estonia core/west,794,0.22666286040536682,0.8792912513842747
Martin / Mart / Märt,Märt,South Estonia/Seto,100,0.028546959748786755,0.11074197120708748
Martin / Mart / Märt,Märt,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märt,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märt,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märt,Other/unclear,9,0.002569226377390808,0.009966777408637873
Martin / Mart / Märt,Mart/Martin,Estonia core/west,529,0.15101341707108193,0.9706422018348624
Martin / Mart / Märt,Mart/Martin,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,Finland/Savo-Karelia,3,0.0008564087924636027,0.005504587155963303
Martin / Mart / Märt,Mart/Martin,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,East Karelia/Veps/Tver,1,0.00028546959748786756,0.001834862385321101
Martin / Mart / Märt,Mart/Martin,Other/unclear,12,0.0034256351698544107,0.022018348623853212
Martin / Mart / Märt,Mard/Mardi,Estonia core/west,214,0.06109049386240365,0.9861751152073732
Martin / Mart / Märt,Mard/Mardi,South Estonia/Seto,3,0.0008564087924636027,0.013824884792626729
Martin / Mart / Märt,Mard/Mardi,Finland/Savo-Karelia,0,0.0,0.0
