feature_rank_by_size,semantic_name_group,standard_lemma,standard_lemma_map_category,mentions,overall_share,is_top_map_variant
1,Mary / Maria / Maarja / Mari,Marinen,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maritse,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mati/Mari,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mats-Mari,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Matsu & Mari,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Moari (archaic),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Moaria,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Muari,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mustamaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Torkkomaijan,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,ahkeramaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,akerias & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,akkelismaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,akkuna & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,harakka & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,helsinki & maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,hertta & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,kala & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,kuppari & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,lammas-Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,lanka & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,länsi & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarian,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maariankukka (hypothetical),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarianne,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarja&hais,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjahein,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjakene,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjalehm,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjanpäivä,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjavars,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maarjuke,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,mahti + Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maie+ke,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maijamaa,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maito & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maito/maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maja/maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,makaranmaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,makkara&Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,makkara-Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,makkaramaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,manitsema,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,mariapiika,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,maritütreke,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,marja (berry) or Maria (name),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,marjainen,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,marjuke,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,marjukene,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,meri,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,musta&Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,mustapäämari,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,neitien Maria,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,neitsyt & Maaria,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,neitsyt-Maarja,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,neitsytmarja,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,ranta&Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,rämppä & maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,taevaema,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,varesmaija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,varis & Maija,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,varis & Maija/maja,Other,1,0.0002583311805734952,False
