feature_rank_by_size,semantic_name_group,area_name,macroRegion,langLabel,langCode,standard_lemma_map_category,mentions,poems,standard_lemma_types,top_standard_lemmas,top_english_variants
1,Mary / Maria / Maarja / Mari,Kaarma,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Kaavi,Finland/Savo-Karelia,Finnish,su,Maaria,6,5,1,Maaria (6),Mary (6)
1,Mary / Maria / Maarja / Mari,Kaavi,Finland/Savo-Karelia,Finnish,su,Maria,3,3,1,Maria (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Kaavi,Finland/Savo-Karelia,Finnish,su,Other,2,2,2,lammas-Maija (1); Marian (1),Maija/Maie (1); Mary (1)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Mari,22,18,1,Mari (22),Mari (13); Mary (9)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Other,11,6,6,maarjamägi (3); maria (2); Mari+kene (2); mari (2); Marija (1); marjuke (1),Mary (6); Mari (5)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Mai,9,3,1,Mai (9),Maija/Maie (9)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Maria,8,4,1,Maria (8),Mary (6); Maria/Maaria (2)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Maarja,4,4,1,Maarja (4),Mary (3); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Kadrina,Estonia core/west,North Estonian,viP,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Kalajoki,Finland/Savo-Karelia,Finnish,su,Maija,3,2,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Kalajoki,Finland/Savo-Karelia,Finnish,su,Maaria,2,1,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Kalvola,Finland/Savo-Karelia,Finnish,su,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Kalvola,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Kambja,Estonia core/west,South Estonian,viE,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Kambja,Estonia core/west,South Estonian,viE,Other,1,1,1,maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Kanepi,South Estonia/Seto,South Estonian,viE,Maarja,2,2,1,Maarja (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Kanepi,South Estonia/Seto,South Estonian,viE,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Kanepi,South Estonia/Seto,South Estonian,viE,Mari,1,1,1,Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Kanepi,South Estonia/Seto,South Estonian,viE,Other,1,1,1,Marimägi (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Kangasniemi,Finland/Savo-Karelia,Finnish,su,Maija,2,2,1,Maija (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Kangasniemi,Finland/Savo-Karelia,Finnish,su,Maria,2,2,1,Maria (2),Maria/Maaria (1); Mary (1)
1,Mary / Maria / Maarja / Mari,Kangasniemi,Finland/Savo-Karelia,Finnish,su,Other,2,2,2,lanka & Maija (1); Hölttä-Maija (1),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Kankaanpää,Finland/Savo-Karelia,Finnish,su,Maaria,4,3,1,Maaria (4),Mary (4)
