area_name,Ilmarinen::Ilmarinen,Ilmarinen::Ilmari/Ilmar,Väinämöinen::Väinämöinen,Väinämöinen::Väinö/Väinämö,Lemminkäinen::Lemminkäinen,Lemminkäinen::Lemmingäinen/Lemming,Jesus / Christ::Jesus,Jesus / Christ::Christ,Mary / Maria / Maarja / Mari::Mary,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maria/Maaria,John / Jaan / Jussi / Hans::Jussi,John / Jaan / Jussi / Hans::Jaan/Jaani,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::John/St John,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Juhan,Peter / Pietari / Peeter::Peter,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka/Pekko,Peter / Pietari / Peeter::Petteri/Pietari,Martin / Mart / Märt::Martin,Martin / Mart / Märt::Mart/Marti,Martin / Mart / Märt::Märt/Märti,Martin / Mart / Märt::Mardi/Mard,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri/Katrina,Catherine / Kadri / Katri::Kaisa/Kaie,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Catherine/Katherine,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anni/Annie,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Sääksmäki,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,1,0,0,0,1,0,0,0,Finland/Savo-Karelia,Finnish,su,5,38
Tammela,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,5,44
Tampere,,,,,,,0,1,,,,,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,12
Tartu-Maarja,,,0,1,,,,,1,0,0,0,0,1,0,0,0,0,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,South Estonian,viE,6,41
Tarvastu,,,,,,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,South Estonian,viE,7,365
Terijoki,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,1,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,6,15
Tervo,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Finland/Savo-Karelia,Finnish,su,7,15
Tervola,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,10
Tohmajärvi,1,0,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,1,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,8,55
Toksova,1,0,1,0,,,1,0,1,0,0,0,,,,,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Ingria,Finnish,su,8,40
Tori,,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,7,176
Torma,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,249
Tulemajärvi,1,0,1,0,1,0,1,0,1,0,0,0,,,,,,,1,0,0,0,,,,,,,,,,0,0,1,0,0,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,75
Turku,,,,,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,0,0,1,0,0,0,1,0,0,0,Finland/Savo-Karelia,Finnish,su,5,12
Tuulos,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,13
Tuupovaara,,,1,0,,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,7,32
Tuusniemi,,,1,0,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,14
Tyrvää,1,0,1,0,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,7,23
Tyrö,1,0,1,0,,,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,1,0,0,0,0,0,1,0,0,Ingria,Finnish,su,8,98
