area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Uukuniemi,East Karelia/Veps/Tver,Finnish,31,6,1,0.9787204127813027
Uusikaupunki,Finland/Savo-Karelia,Finnish,23,5,1,0.9999998291054335
Uusikirkko Tl.,Finland/Savo-Karelia,Finnish,10,4,1,0.9920700103333825
Vaivara,Estonia core/west,North Estonian,62,6,2,0.9999996320360822
Valtimo,Finland/Savo-Karelia,Finnish,13,5,1,0.9996189260978577
Varbla,Estonia core/west,North Estonian,107,6,2,0.9991483103595745
Varpaisjärvi,Finland/Savo-Karelia,Finnish,15,5,1,0.9995702718221441
Vastseliina,South Estonia/Seto,South Estonian,119,6,2,0.9987868771589717
Venjoki,Ingria,Finnish,59,8,1,0.9985770629357282
Vesilahti,Finland/Savo-Karelia,Finnish,10,4,1,0.9997952147059254
Vieljärvi,East Karelia/Veps/Tver,Livvi-Karelian,25,5,1,0.9992585618707525
Vigala,Estonia core/west,North Estonian,153,7,2,0.9999998576705534
Vihanti,Finland/Savo-Karelia,Finnish,11,4,1,0.8282659203592999
Viitasaari,Finland/Savo-Karelia,Finnish,12,4,1,0.9997853478509254
Viljandi,Estonia core/west,North Estonian,326,7,2,0.9999997762255239
Virrat,Finland/Savo-Karelia,Finnish,11,4,1,0.9995721916061393
Virtasalmi,Finland/Savo-Karelia,Finnish,16,6,1,0.9999859349196494
Viru-Jaagupi,Estonia core/west,North Estonian,71,5,2,0.9999958863187888
Viru-Nigula,Estonia core/west,North Estonian,121,7,2,0.999994634202991
Vuokkiniemi,East Karelia/Veps/Tver,Karelian Proper,140,8,1,0.9999990788015987
Vuole,Ingria,Finnish,108,9,1,0.9999999997076507
Väike-Maarja,Estonia core/west,North Estonian,166,7,2,0.9971992737087082
Vändra,Estonia core/west,North Estonian,159,6,2,0.9999998122892205
Võnnu,Estonia core/west,South Estonian,106,6,2,0.9999984729628328
Yläne,Finland/Savo-Karelia,Finnish,14,5,1,0.9994811258374063
Äksi,Estonia core/west,North Estonian,83,6,2,0.9999999874009343
Östmark,Finland/Savo-Karelia,Finnish,16,6,2,0.8662633254054226
