area_name,Ilmarinen::Ilmarinen,Ilmarinen::Other,Väinämöinen::Väinämöinen,Lemminkäinen::Lemminkäinen,Jesus / Christ::Jeesus,Jesus / Christ::Christ/Kristus,Jesus / Christ::Other,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maria,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maarja,Mary / Maria / Maarja / Mari::Maaria,Mary / Maria / Maarja / Mari::Other,John / Jaan / Jussi / Hans::Jaan,John / Jaan / Jussi / Hans::Jussi/Juss,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Iivana,John / Jaan / Jussi / Hans::Other,Peter / Pietari / Peeter::Pietari,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka,Peter / Pietari / Peeter::Petteri/Petri,Peter / Pietari / Peeter::Other,Martin / Mart / Märt::Märt,Martin / Mart / Märt::Mart/Martin,Martin / Mart / Märt::Mard/Mardi,Martin / Mart / Märt::Martti,Martin / Mart / Märt::Other,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri,Catherine / Kadri / Katri::Kaisa,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Katariina/Katriina,Catherine / Kadri / Katri::Other,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Anni,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,Anna / Anne / Ann / Anni::Other,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Kivijärvi,,,1,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,0,0,0,1,0,0,0,0,0,1,0,,,,,,,Finland/Savo-Karelia,Finnish,su,6,19
Kodavere,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,80
Koeru,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,168
Koivisto,,,,,1,0,0,1,0,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,35
Kolga-Jaani,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,226
Kontiolahti,1,0,1,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,8,36
Kontokki,,,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,0,1,0,0,0,0,East Karelia/Veps/Tver,Karelian Proper,ka,8,52
Koprina,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,Ingria,Finnish,su,6,49
Korpilahti,,,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,18
Korpiselkä,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,East Karelia/Veps/Tver,Karelian Proper,ka,9,154
Kose,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,155
Kuhmo,,,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,8,21
Kuhmoinen,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,22
Kullamaa,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,41
Kuopio,,,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,24
Kupanitsa,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,Ingria,Finnish,su,6,29
Kurikka,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,10
Kursi,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,5,45
Kuusalu,,,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,8,264
Kuusamo,0,1,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,28
Käina,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,19
Kärla,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,14
Kõpu,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,65
Laihia,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,18
Laiuse,,,,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,110
Lapinlahti,1,0,1,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,15
Lappee,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,Finland/Savo-Karelia,Finnish,su,6,15
Lapua,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,4,11
Lavansaari,,,,,1,0,0,1,0,0,0,0,0,,,,,,,0,0,1,0,0,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,11
Lemi,,,1,,,,,0,0,1,0,0,0,,,,,,,1,0,0,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,4,14
Lempaala,1,0,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,9,155
Leppävirta,,,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,0,0,0,0,1,Finland/Savo-Karelia,Finnish,su,6,33
Liissilä,1,0,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,Ingria,Finnish,su,7,64
Liperi,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,37
Loppi,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,21
Luopioinen,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,10
Lääne-Nigula,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Estonia core/west,North Estonian,viP,6,16
Lüganuse,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,61
Maaninka,,,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,1,0,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,6,23
Maarja-Magdaleena,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,77
Markkova,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,0,1,0,0,0,0,,,,,,,Ingria,Finnish,suI,5,12
Martna,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,5,31
Metsäpirtti,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,8,31
Mihkli,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,0,0,1,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,4,60
Moloskovitsa,1,0,,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,Ingria,Finnish,su,7,57
Muhos,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,6,10
Muhu,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,125
Muolaa,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,17
Mustjala,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,5,30
Muurla,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,29
Muuruvesi,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,5,10
Mynämäki,,,,1,,,,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,4,13
Mäntsälä,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,11
Mäntyharju,,,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,23
Märjamaa,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,85
Narvusi,1,0,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Ingria,Ingrian,in,9,597
Nilsiä,1,0,,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,33
Nurmes,1,0,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Finland/Savo-Karelia,Finnish,su,9,85
Nõo,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,5,45
Orimattila,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,15
Otepää,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,5,42
Oulu,1,0,,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,10
Paide,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,0,0,1,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,4,43
Paistu,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,7,515
Palamuse,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,175
Paltamo,1,0,1,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,7,28
Peetri,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,145
