area_name,Ilmarinen::Ilmarinen,Ilmarinen::Other,Väinämöinen::Väinämöinen,Lemminkäinen::Lemminkäinen,Jesus / Christ::Jeesus,Jesus / Christ::Christ/Kristus,Jesus / Christ::Other,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maria,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maarja,Mary / Maria / Maarja / Mari::Maaria,Mary / Maria / Maarja / Mari::Other,John / Jaan / Jussi / Hans::Jaan,John / Jaan / Jussi / Hans::Jussi/Juss,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Iivana,John / Jaan / Jussi / Hans::Other,Peter / Pietari / Peeter::Pietari,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka,Peter / Pietari / Peeter::Petteri/Petri,Peter / Pietari / Peeter::Other,Martin / Mart / Märt::Märt,Martin / Mart / Märt::Mart/Martin,Martin / Mart / Märt::Mard/Mardi,Martin / Mart / Märt::Martti,Martin / Mart / Märt::Other,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri,Catherine / Kadri / Katri::Kaisa,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Katariina/Katriina,Catherine / Kadri / Katri::Other,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Anni,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,Anna / Anne / Ann / Anni::Other,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Perniö,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,10
Pieksämäki,1,0,1,,1,0,0,0,1,0,0,0,0,,,,,,,0,0,1,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,20
Pielavesi,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,8,62
Pielisjärvi,1,0,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,8,37
Piippola,,,1,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,,,,,,,0,0,0,0,0,1,Finland/Savo-Karelia,Finnish,su,5,13
Pilistvere,,,,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,142
Pistojärvi,,,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,4,12
Porajärvi,1,0,1,1,1,0,0,0,0,0,0,1,0,,,,,,,0,0,1,0,0,,,,,,,,,,,,0,1,0,0,0,0,East Karelia/Veps/Tver,Karelian Proper,kaV,7,101
Pudasjärvi,,,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,19
Puhja,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,6,77
Puolanka,,,1,,1,0,0,0,0,0,0,1,0,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,14
Puumala,,,,,1,0,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,23
Pyhäjärvi Ol.,,,1,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,14
Pyhäjärvi Ul.,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,14
Pyhäjärvi Vpl.,,,1,,0,1,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,27
Pälkjärvi,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,1,Finland/Savo-Karelia,Finnish,su,5,16
Pärnu,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,118
Pärnu-Jaagupi,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,139
Põltsamaa,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,193
Põlva,,,,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,South Estonia/Seto,South Estonian,viE,7,66
Pöide,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,7,74
